video,frame,landmark,court_x_m,court_y_m,x_px,y_px
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,far_baseline_x_left_doubles,0.0,0.0,145.5,568.875
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,near_baseline_x_right_doubles,6.1,13.4,1564.125,653.75
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,far_baseline_x_left_singles,0.46,0.0,197.25,565.625
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,far_baseline_x_centre,3.05,0.0,431.5,553.625
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,far_long_service_x_left_doubles,0.0,0.76,152.75,573.875
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,far_long_service_x_left_singles,0.46,0.76,205.5,570.5
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,far_short_service_x_left_doubles,0.0,4.720000000000001,203.625,608.75
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,far_short_service_x_left_singles,0.46,4.720000000000001,272.375,603.75
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,far_short_service_x_centre,3.05,4.720000000000001,562.625,580.875
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,far_short_service_x_right_singles,5.64,4.720000000000001,758.25,565.25
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,far_short_service_x_right_doubles,6.1,4.720000000000001,786.875,562.625
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,near_short_service_x_left_doubles,0.0,8.68,317.625,689.375
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,near_short_service_x_left_singles,0.46,8.68,415.625,676.0
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,near_short_service_x_centre,3.05,8.68,787.875,622.375
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,near_short_service_x_right_singles,5.64,8.68,999.5,594.125
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,near_short_service_x_right_doubles,6.1,8.68,1023.5,590.125
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,near_long_service_x_left_doubles,0.0,12.64,724.375,976.5
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,near_long_service_x_left_singles,0.46,12.64,873.75,908.875
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,near_long_service_x_centre,3.05,12.64,1270.125,721.75
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,near_long_service_x_right_singles,5.64,12.64,1420.875,648.375
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,near_long_service_x_right_doubles,6.1,12.64,1438.0,639.5
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,near_baseline_x_left_singles,0.46,13.4,1113.375,1030.0
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,near_baseline_x_centre,3.05,13.4,1442.125,756.5
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,0,near_baseline_x_right_singles,5.64,13.4,1550.75,663.875
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,far_baseline_x_left_doubles,0.0,0.0,145.5,568.875
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,near_baseline_x_right_doubles,6.1,13.4,1564.125,653.75
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,far_baseline_x_left_singles,0.46,0.0,197.25,565.625
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,far_baseline_x_centre,3.05,0.0,431.5,553.625
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,far_long_service_x_left_doubles,0.0,0.76,152.75,573.875
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,far_long_service_x_left_singles,0.46,0.76,205.5,570.5
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,far_short_service_x_left_doubles,0.0,4.720000000000001,203.625,608.75
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,far_short_service_x_left_singles,0.46,4.720000000000001,272.375,603.75
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,far_short_service_x_centre,3.05,4.720000000000001,562.625,580.875
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,far_short_service_x_right_singles,5.64,4.720000000000001,758.25,565.25
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,far_short_service_x_right_doubles,6.1,4.720000000000001,786.875,562.625
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,near_short_service_x_left_doubles,0.0,8.68,317.625,689.375
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,near_short_service_x_left_singles,0.46,8.68,415.625,676.0
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,near_short_service_x_centre,3.05,8.68,787.875,622.375
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,near_short_service_x_right_singles,5.64,8.68,999.5,594.125
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,near_short_service_x_right_doubles,6.1,8.68,1023.5,590.125
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,near_long_service_x_left_doubles,0.0,12.64,724.375,976.5
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,near_long_service_x_left_singles,0.46,12.64,873.75,908.875
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,near_long_service_x_centre,3.05,12.64,1270.125,721.75
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,near_long_service_x_right_singles,5.64,12.64,1420.875,648.375
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,near_long_service_x_right_doubles,6.1,12.64,1438.0,639.5
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,near_baseline_x_left_singles,0.46,13.4,1113.375,1030.0
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,near_baseline_x_centre,3.05,13.4,1442.125,756.5
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,5,near_baseline_x_right_singles,5.64,13.4,1550.75,663.875
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,far_baseline_x_left_doubles,0.0,0.0,145.5,568.875
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,near_baseline_x_right_doubles,6.1,13.4,1564.125,653.75
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,far_baseline_x_left_singles,0.46,0.0,197.25,565.625
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,far_baseline_x_centre,3.05,0.0,431.5,553.625
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,far_long_service_x_left_doubles,0.0,0.76,152.75,573.875
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,far_long_service_x_left_singles,0.46,0.76,205.5,570.5
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,far_short_service_x_left_doubles,0.0,4.720000000000001,203.625,608.75
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,far_short_service_x_left_singles,0.46,4.720000000000001,272.375,603.75
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,far_short_service_x_centre,3.05,4.720000000000001,562.625,580.875
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,far_short_service_x_right_singles,5.64,4.720000000000001,758.25,565.25
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,far_short_service_x_right_doubles,6.1,4.720000000000001,786.875,562.625
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,near_short_service_x_left_doubles,0.0,8.68,317.625,689.375
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,near_short_service_x_left_singles,0.46,8.68,415.625,676.0
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,near_short_service_x_centre,3.05,8.68,787.875,622.375
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,near_short_service_x_right_singles,5.64,8.68,999.5,594.125
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,near_short_service_x_right_doubles,6.1,8.68,1023.5,590.125
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,near_long_service_x_left_doubles,0.0,12.64,724.375,976.5
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,near_long_service_x_left_singles,0.46,12.64,873.75,908.875
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,near_long_service_x_centre,3.05,12.64,1270.125,721.75
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,near_long_service_x_right_singles,5.64,12.64,1421.5,648.25
scratch/court_det_fix/worklog/checks/independent/examples_updated/gxBQ_HwdgN4.mp4,689,near_long_service_x_right_doubles,6.1,12.64,1438.75,639.625
