video,frame,corner_idx,x_px,y_px,x_norm,y_norm,orientation,corner_label,visible,source,fit_rms_px
C6NrJyBwn6c.mkv,0,0,67.0,472.5,0.034895833333333334,0.4375,landscape,tl,1,click,
C6NrJyBwn6c.mkv,0,1,721.5,470.0,0.37578125,0.4351851851851852,landscape,tr,1,click,
C6NrJyBwn6c.mkv,0,2,2157.1706284278093,762.1214335428239,1.1235263689728174,0.7056679940211332,landscape,br,0,extrapolated,3.513
C6NrJyBwn6c.mkv,0,3,527.0046297216683,1147.1097653380398,0.27448157798003553,1.062138671609296,landscape,bl,0,extrapolated,3.513
C6NrJyBwn6c.mkv,10514,0,62.5,468.0,0.032552083333333336,0.43333333333333335,landscape,tl,1,click,
C6NrJyBwn6c.mkv,10514,1,720.5,468.625,0.37526041666666665,0.433912037037037,landscape,tr,1,click,
C6NrJyBwn6c.mkv,10514,2,2160.9234063137837,761.8913622593835,1.125480940788429,0.7054549650549847,landscape,br,0,extrapolated,3.553
C6NrJyBwn6c.mkv,10514,3,525.9448882834926,1148.4824303113958,0.273929629314319,1.0634096576957368,landscape,bl,0,extrapolated,3.553
C6NrJyBwn6c.mkv,24515,0,61.5,469.0,0.03203125,0.43425925925925923,landscape,tl,1,click,
C6NrJyBwn6c.mkv,24515,1,721.5,467.625,0.37578125,0.4329861111111111,landscape,tr,1,click,
C6NrJyBwn6c.mkv,24515,2,2161.3028596083536,760.7148607879939,1.1256785727126841,0.7043656118407351,landscape,br,0,extrapolated,3.399
C6NrJyBwn6c.mkv,24515,3,523.9104513632014,1148.7640230807076,0.27287002675166744,1.0636703917413959,landscape,bl,0,extrapolated,3.399
C6NrJyBwn6c.mkv,17174,0,62.5,470.0,0.032552083333333336,0.4351851851851852,landscape,tl,1,click,
C6NrJyBwn6c.mkv,17174,1,720.0,468.125,0.375,0.43344907407407407,landscape,tr,1,click,
C6NrJyBwn6c.mkv,17174,2,2164.020304482179,761.1647626537076,1.1270939085844682,0.7047821876423218,landscape,br,0,extrapolated,3.066
