video,frame,landmark,court_x_m,court_y_m,x_px,y_px
C6NrJyBwn6c.mkv,0,far_baseline_x_left_doubles,0.0,0.0,67.0,472.0
C6NrJyBwn6c.mkv,0,far_baseline_x_left_singles,0.46,0.0,129.5,472.0
C6NrJyBwn6c.mkv,0,far_baseline_x_centre,3.05,0.0,430.5,471.0
C6NrJyBwn6c.mkv,0,far_baseline_x_right_singles,5.64,0.0,684.0,471.0
C6NrJyBwn6c.mkv,0,far_baseline_x_right_doubles,6.1,0.0,721.5,470.0
C6NrJyBwn6c.mkv,0,far_long_service_x_left_doubles,0.0,0.76,72.0,479.5
C6NrJyBwn6c.mkv,0,far_long_service_x_left_singles,0.46,0.76,136.5,479.0
C6NrJyBwn6c.mkv,0,far_long_service_x_right_singles,5.64,0.76,708.0,477.0
C6NrJyBwn6c.mkv,0,far_long_service_x_right_doubles,6.1,0.76,747.5,476.5
C6NrJyBwn6c.mkv,0,far_short_service_x_left_doubles,0.0,4.720000000000001,109.0,534.5
C6NrJyBwn6c.mkv,0,far_short_service_x_left_singles,0.46,4.720000000000001,194.5,533.5
C6NrJyBwn6c.mkv,0,far_short_service_x_centre,3.05,4.720000000000001,591.5,525.5
C6NrJyBwn6c.mkv,0,far_short_service_x_right_singles,5.64,4.720000000000001,897.0,517.5
C6NrJyBwn6c.mkv,0,far_short_service_x_right_doubles,6.1,4.720000000000001,944.5,516.5
C6NrJyBwn6c.mkv,0,near_short_service_x_left_doubles,0.0,8.68,183.0,643.5
C6NrJyBwn6c.mkv,0,near_short_service_x_left_singles,0.46,8.68,308.0,638.0
C6NrJyBwn6c.mkv,0,near_short_service_x_centre,3.05,8.68,843.5,606.5
C6NrJyBwn6c.mkv,0,near_short_service_x_right_singles,5.64,8.68,1214.0,585.5
C6NrJyBwn6c.mkv,0,near_short_service_x_right_doubles,6.1,8.68,1268.5,582.5
C6NrJyBwn6c.mkv,0,near_long_service_x_left_doubles,0.0,12.64,412.5,983.0
C6NrJyBwn6c.mkv,0,near_long_service_x_left_singles,0.46,12.64,638.5,941.0
C6NrJyBwn6c.mkv,0,near_long_service_x_centre,3.05,12.64,1438.0,805.5
C6NrJyBwn6c.mkv,0,near_long_service_x_right_singles,5.64,12.64,1891.0,729.5
