Model,Category,RPM,TPM,RPD,
Gemini 2.5 Flash,Text-out models,1 / 5 ,229 / 250K ,1 / 20 ,
Antigravity,Agents,0 / 60 ,0 / 100K ,0 / 100 ,
Gemini 2.5 Flash Lite,Text-out models,0 / 10 ,0 / 250K ,0 / 20 ,
Gemini 2.5 Flash TTS,Multi-modal generative models,0 / 3 ,0 / 10K ,0 / 10 ,
Gemini 3 Flash,Text-out models,0 / 5 ,0 / 250K ,0 / 20 ,
Gemini 3.1 Flash Lite,Text-out models,0 / 15 ,0 / 250K ,0 / 500 ,
Gemini 3.1 Flash TTS,Multi-modal generative models,0 / 3 ,0 / 10K ,0 / 10 ,
Gemini 3.5 Flash,Text-out models,0 / 5 ,0 / 250K ,0 / 20 ,
Gemini Embedding 1,Other models,0 / 100 ,0 / 30K ,0 / 1K ,
Gemini Embedding 2,Other models,0 / 100 ,0 / 30K ,0 / 1K ,
Gemini Robotics ER 1.5 Preview,Other models,0 / 10 ,0 / 250K ,0 / 20 ,
Gemini Robotics ER 1.6 Preview,Other models,0 / 5 ,0 / 250K ,0 / 20 ,
Gemma 4 26B,Other models,0 / 15 ,0 / Unlimited,0 / 1.5K ,
Gemma 4 31B,Other models,0 / 15 ,0 / Unlimited,0 / 1.5K ,
Imagen 4 Fast Generate,Multi-modal generative models,-,-,0 / 25 ,
Imagen 4 Generate,Multi-modal generative models,-,-,0 / 25 ,
Imagen 4 Ultra Generate,Multi-modal generative models,-,-,0 / 25 ,
Gemini 2.5 Flash Native Audio Dialog,Live API,0 / Unlimited,0 / 1M ,0 / Unlimited,
Gemini 3 Flash Live,Live API,0 / Unlimited,0 / 65K ,0 / Unlimited,
Gemini 3.5 Live Translate,Live API,0 / Unlimited,0 / 20K ,0 / Unlimited,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
