rally_first,rally_last,serve_frame,n_gt_strokes,n_matched_strokes,nearest_raw_candidate,nearest_accepted_candidate,window_frames,visible_frac,clean_visible_frac,fabricated_frac,degraded_frac,longest_clean_run,serve_in_dead_mask,dead_mask_frac
11881,11965,11881,6,3,13,13,51,1.0,0.392,0.314,0.294,20,False,0.412
13434,13523,13434,6,4,18,18,51,1.0,0.706,0.0,0.294,36,False,0.392
13923,14245,13923,16,10,2,5,51,1.0,0.275,0.431,0.294,14,False,0.0
15804,15881,15804,6,3,2,5,51,1.0,0.0,0.686,0.314,0,False,0.0
17990,19062,17990,41,26,5,5,51,1.0,0.333,0.373,0.294,17,False,0.294
19583,20460,19583,34,28,4,4,51,1.0,0.51,0.196,0.294,26,False,0.294
21006,22080,21006,39,33,10,14,51,1.0,0.49,0.216,0.294,25,False,0.0
23852,24312,23852,18,13,2,5,51,1.0,0.137,0.569,0.294,7,False,0.0
28235,28677,28235,19,15,21,21,51,1.0,0.431,0.275,0.294,22,False,0.412
29123,29296,29123,7,5,27,27,51,0.549,0.0,0.353,0.196,0,False,0.451
31753,31828,31753,5,4,5,5,51,1.0,1.0,0.0,0.0,51,False,0.451
33026,33176,33026,8,2,12,15,51,1.0,0.0,0.765,0.235,0,False,0.0
33608,34053,33608,19,15,6,9,51,1.0,0.373,0.333,0.294,19,False,0.451
36562,37723,36562,44,35,12,15,51,1.0,0.0,0.627,0.373,0,False,0.098
39814,40151,39814,16,8,5,8,51,1.0,0.314,0.373,0.314,16,False,0.275
42221,42423,42221,9,6,17,17,51,1.0,1.0,0.0,0.0,51,False,0.373
48521,48587,48521,4,3,5,5,51,1.0,1.0,0.0,0.0,51,False,0.0
48966,49083,48966,4,1,24,27,51,1.0,0.0,1.0,0.0,0,False,0.275
49590,49676,49590,5,3,2,5,51,1.0,0.333,0.373,0.294,17,False,0.255
51285,51690,51285,18,15,12,12,51,1.0,0.941,0.0,0.059,48,False,0.0
52842,53674,52842,34,25,9,9,51,1.0,0.412,0.294,0.294,21,False,0.0
55100,55391,55100,15,9,9,9,51,1.0,0.765,0.0,0.235,39,False,0.0
56790,57155,56790,15,9,5,5,51,1.0,0.333,0.373,0.294,17,False,0.373
57990,58107,57990,5,4,5,5,51,1.0,0.333,0.373,0.294,17,False,0.0
58820,58976,58820,8,7,7,7,51,1.0,1.0,0.0,0.0,51,False,0.0
59395,59565,59395,9,6,11,11,51,1.0,0.902,0.0,0.098,46,False,0.0
60652,60803,60652,8,5,31,31,51,0.275,0.275,0.0,0.0,14,False,0.0
62748,63027,62748,13,9,7,10,51,1.0,0.373,0.333,0.294,19,False,0.0
63753,64221,63753,20,14,8,8,51,1.0,0.392,0.314,0.294,20,False,0.0
65242,65464,65242,11,9,9,9,51,1.0,0.412,0.294,0.294,21,False,0.0
66019,66256,66019,11,5,11,11,51,1.0,1.0,0.0,0.0,51,False,0.0
66724,66917,66724,9,7,10,13,51,1.0,0.0,0.627,0.373,0,False,0.235
70177,70951,70177,32,19,45,48,51,1.0,0.0,1.0,0.0,0,False,0.0
71547,71649,71547,5,3,10,10,51,1.0,0.961,0.0,0.039,46,False,0.235
72885,73832,72885,38,27,16,16,51,1.0,1.0,0.0,0.0,51,False,0.0
74519,74599,74519,4,2,6,6,51,1.0,0.353,0.353,0.294,18,False,0.0
76925,77075,76925,8,4,7,7,51,1.0,0.431,0.275,0.294,22,False,0.314
77788,77874,77788,5,1,11,11,51,1.0,1.0,0.0,0.0,51,False,0.0
79832,80536,79832,29,22,7,7,51,1.0,0.373,0.333,0.294,19,False,0.0
82419,82490,82419,5,4,13,13,51,1.0,1.0,0.0,0.0,51,False,0.0
87211,87507,87211,16,11,10,10,51,1.0,0.373,0.333,0.294,19,False,0.0
91191,91270,91191,5,2,6,6,51,1.0,0.353,0.353,0.294,18,False,0.0
93607,93887,93607,14,10,6,6,51,1.0,0.353,0.353,0.294,18,False,0.0
94855,95062,94855,10,4,6,6,51,1.0,0.353,0.353,0.294,18,False,0.0
97194,97530,97194,14,9,9,9,51,1.0,0.412,0.294,0.294,21,False,0.0
99927,100321,99927,20,14,6,6,51,1.0,0.98,0.0,0.02,50,False,0.333
104518,104605,104518,5,4,24,24,51,1.0,0.647,0.059,0.294,33,False,0.451
105331,105594,105331,14,9,11,14,51,1.0,0.0,0.745,0.255,0,False,0.0
108317,108337,108317,2,1,9,9,51,1.0,0.039,0.373,0.588,2,False,0.294
108888,109792,108888,38,28,6,9,51,1.0,0.059,0.647,0.294,3,False,0.0
113940,114408,113940,18,15,7,7,51,1.0,0.922,0.0,0.078,47,False,0.0
114993,115491,114993,20,15,13,13,51,1.0,0.549,0.157,0.294,28,False,0.0
116220,116302,116220,4,2,2,5,51,1.0,0.137,0.569,0.294,7,False,0.0
116775,117327,116775,25,18,6,6,51,1.0,0.353,0.353,0.294,18,False,0.294
118904,119953,118904,43,30,12,12,51,1.0,1.0,0.0,0.0,51,False,0.0
122326,122461,122326,10,3,11,12,51,1.0,0.647,0.059,0.294,33,False,0.176
122926,123137,122926,9,8,6,6,51,1.0,0.431,0.275,0.294,22,False,0.294
127853,128083,127853,11,7,10,10,51,1.0,1.0,0.0,0.0,51,False,0.0
128771,128910,128771,7,3,2,5,51,1.0,0.275,0.431,0.294,14,False,0.0
129575,129683,129575,7,2,6,6,51,1.0,0.353,0.353,0.294,18,False,0.0
132577,132590,132577,2,1,10,10,51,1.0,1.0,0.0,0.0,51,False,0.0
133265,133358,133265,6,5,10,10,51,1.0,0.549,0.157,0.294,28,False,0.0
134201,134498,134201,17,8,11,11,51,1.0,1.0,0.0,0.0,51,False,0.0
135374,135576,135374,13,6,6,6,51,1.0,0.059,0.647,0.294,3,False,0.0
