rally_first,rally_last,serve_frame,n_gt_strokes,n_matched_strokes,nearest_raw_candidate,nearest_accepted_candidate,window_frames,visible_frac,clean_visible_frac,fabricated_frac,degraded_frac,longest_clean_run,serve_in_dead_mask,dead_mask_frac
21146,21339,21146,7,4,43,43,61,0.934,0.0,0.705,0.23,0,True,0.639
21990,22573,21990,14,11,23,23,61,0.344,0.344,0.0,0.0,21,True,0.639
23168,23610,23168,18,16,14,14,61,1.0,0.492,0.262,0.246,30,False,0.344
24875,24929,24875,3,1,7,10,61,1.0,0.18,0.525,0.295,11,True,0.639
25486,25676,25486,4,3,13,24,61,1.0,0.492,0.262,0.246,30,False,0.0
27458,27883,27458,14,10,62,69,61,0.639,0.0,0.459,0.18,0,True,0.607
31431,31471,31431,2,1,39,39,61,1.0,0.0,0.902,0.098,0,True,0.902
31893,32174,31893,10,5,26,26,61,1.0,0.082,0.672,0.246,5,True,0.672
38393,38628,38393,12,10,6,6,61,1.0,0.41,0.344,0.246,25,False,0.361
40231,40325,40231,3,2,55,55,61,1.0,0.0,1.0,0.0,0,True,1.0
40970,41183,40970,4,2,72,72,61,0.738,0.082,0.41,0.246,5,True,0.639
44598,44736,44598,5,3,70,70,61,0.115,0.115,0.0,0.0,7,True,0.689
45243,45665,45243,17,14,3,6,61,1.0,0.18,0.525,0.295,11,False,0.0
49809,49958,49809,8,3,23,26,61,1.0,0.279,0.475,0.246,17,False,0.492
50529,50773,50529,4,2,16,16,61,1.0,0.279,0.475,0.246,17,False,0.492
51483,51530,51483,3,1,9,9,61,1.0,0.426,0.328,0.246,26,False,0.0
54440,55663,54440,42,34,24,24,61,0.574,0.574,0.0,0.0,35,False,0.213
61209,61419,61209,6,4,5,55,61,0.607,0.0,0.443,0.164,0,False,0.41
63244,63304,63244,3,2,11,11,61,1.0,0.459,0.295,0.246,28,False,0.0
63766,64059,63766,6,4,32,32,61,0.213,0.18,0.0,0.033,7,True,0.803
64600,64800,64600,8,6,16,16,61,1.0,0.574,0.18,0.246,35,False,0.0
66268,66444,66268,3,2,34,34,61,0.869,0.098,0.557,0.213,5,True,1.0
67123,67353,67123,8,5,59,59,61,0.0,0.0,0.0,0.0,0,False,0.492
68019,68351,68019,11,9,51,64,61,0.0,0.0,0.0,0.0,0,True,0.623
69747,70347,69747,10,7,12,12,61,0.721,0.0,0.361,0.361,0,True,0.607
71006,71152,71006,6,5,16,19,61,1.0,0.0,0.787,0.213,0,False,0.164
71876,72121,71876,9,5,7,12,61,0.426,0.246,0.0,0.18,14,False,0.0
72678,72748,72678,4,3,23,23,61,1.0,0.098,0.656,0.246,6,True,0.656
73275,73815,73275,15,10,35,35,61,1.0,0.18,0.574,0.246,11,True,0.852
77465,77938,77465,18,14,6,9,61,1.0,0.377,0.377,0.246,23,False,0.0
80377,80614,80377,9,7,22,25,61,1.0,0.639,0.115,0.246,39,False,0.0
86535,86820,86535,10,8,10,10,61,1.0,0.328,0.426,0.246,20,True,0.607
87717,87897,87717,7,5,46,46,61,0.18,0.18,0.0,0.0,11,True,0.59
88554,88924,88554,15,12,7,10,61,1.0,0.393,0.361,0.246,24,False,0.0
