rally_first,rally_last,serve_frame,n_gt_strokes,n_matched_strokes,nearest_raw_candidate,nearest_accepted_candidate,window_frames,visible_frac,clean_visible_frac,fabricated_frac,degraded_frac,longest_clean_run,serve_in_dead_mask,dead_mask_frac
25115,25211,25115,6,3,19,19,51,1.0,0.412,0.294,0.294,21,False,0.412
27574,27590,27574,2,1,5,5,51,1.0,0.333,0.373,0.294,17,False,0.0
29126,29208,29126,5,2,5,5,51,1.0,0.333,0.373,0.294,17,False,0.314
29767,30048,29767,14,12,6,6,51,1.0,0.353,0.353,0.294,18,False,0.059
31564,31642,31564,5,4,2,5,51,1.0,0.137,0.569,0.294,7,False,0.0
35137,35456,35137,16,13,16,16,51,1.0,0.549,0.157,0.294,28,False,0.0
36091,36123,36091,4,2,19,22,51,0.706,0.706,0.0,0.0,36,False,0.0
37494,37692,37494,10,7,5,5,51,1.0,0.333,0.373,0.294,17,False,0.0
38232,38363,38232,7,5,7,7,51,1.0,0.373,0.333,0.294,19,False,0.0
42317,42337,42317,2,1,7,10,51,1.0,0.373,0.333,0.294,19,False,0.0
45928,46108,45928,9,5,5,10,51,1.0,0.373,0.333,0.294,19,False,0.0
55339,55367,55339,2,1,26,26,51,1.0,0.353,0.353,0.294,18,False,0.0
56069,56174,56069,7,3,35,35,51,0.51,0.51,0.0,0.0,26,False,0.294
59292,59887,59292,30,22,8,11,51,1.0,0.902,0.0,0.098,35,False,0.0
61530,61587,61530,5,1,9,9,51,1.0,0.373,0.294,0.333,17,False,0.0
70706,70773,70706,4,2,11,11,51,0.49,0.471,0.0,0.02,12,False,0.0
73305,73413,73305,7,3,3,9,51,1.0,0.294,0.353,0.353,15,False,0.0
74568,75241,74568,28,21,7,7,51,1.0,0.686,0.02,0.294,35,False,0.255
75900,76023,75900,8,5,15,15,51,1.0,0.451,0.255,0.294,23,False,0.294
77944,78221,77944,17,13,3,9,51,1.0,0.353,0.353,0.294,18,False,0.0
79702,79955,79702,13,10,5,5,51,1.0,0.333,0.373,0.294,17,False,0.196
81946,81994,81946,5,2,24,24,51,0.51,0.51,0.0,0.0,26,False,0.0
83901,84042,83901,7,5,9,9,51,1.0,0.471,0.235,0.294,24,False,0.333
84572,84591,84572,2,1,2,5,51,1.0,0.0,0.667,0.333,0,False,0.0
89478,89699,89478,11,9,5,5,51,1.0,0.333,0.373,0.294,17,False,0.0
91511,91609,91511,5,2,2,8,51,1.0,0.333,0.373,0.294,17,False,0.0
95256,95305,95256,4,2,25,25,51,0.49,0.49,0.0,0.0,25,False,0.0
101946,102293,101946,17,14,9,9,51,1.0,0.412,0.294,0.294,21,False,0.255
106296,106675,106296,18,15,6,9,51,1.0,0.353,0.353,0.294,18,False,0.0
107899,108230,107899,16,12,10,10,51,1.0,0.431,0.275,0.294,22,False,0.0
110275,110353,110275,5,2,9,9,51,0.451,0.451,0.0,0.0,23,False,0.333
110799,111017,110799,10,8,11,14,51,1.0,0.451,0.255,0.294,23,False,0.0
114139,114224,114139,5,3,3,6,51,1.0,0.0,0.627,0.373,0,False,0.0
114953,115006,114953,3,2,8,8,51,1.0,0.373,0.314,0.314,19,False,0.0
116073,116111,116073,3,1,5,11,51,1.0,0.392,0.314,0.294,20,False,0.157
117670,117834,117670,9,4,24,27,51,1.0,0.0,1.0,0.0,0,False,0.373
122843,122990,122843,8,4,5,11,51,1.0,0.392,0.314,0.294,20,False,0.039
128347,128420,128347,4,3,8,8,51,1.0,0.392,0.314,0.294,20,False,0.0
