rally_id,final_contact,next_start,window_end,cap_pool,cap_sticky,landing_pool,landing_sticky,n_static_frames,n_held_pool,n_held_sticky,visible_samples_to_cap_pool,visible_samples_to_cap_sticky,terminals_sticky,min_descend
0,11646,11877,11668,11668,11653,11663,,4,18,2,22,7,0,3
2,12966,13429,12986,12986,12986,12978,12978,15,20,20,20,20,1,3
3,14286,14938,14290,14290,14290,,,1,1,1,4,4,0,3
4,15039,15363,15041,15041,15041,,,0,1,1,2,2,0,3
5,15502,15779,15508,15508,15508,15507,15507,0,0,0,6,6,1,3
6,15966,16231,15969,15969,15969,15968,15968,0,1,3,3,3,1,3
8,17617,17980,17662,17662,17621,17647,,12,41,0,45,4,0,3
9,19118,19573,19134,19134,19125,19133,,4,14,2,16,7,0,3
10,20510,20951,20542,20542,20517,20527,,8,28,0,32,7,0,3
11,22110,23053,22147,22147,22117,22143,,8,33,12,37,7,0,3
12,23422,23820,23470,23470,23429,23455,,12,44,4,48,7,0,3
13,24318,24975,24351,24351,24325,24350,,8,28,9,33,7,0,3
14,26057,27393,26059,26059,26059,,,0,2,2,2,2,0,3
16,28702,29122,28747,28747,28709,28735,,13,43,2,45,7,0,3
17,29314,31391,29316,29316,29316,,,0,0,0,2,2,0,3
18,31486,31751,31502,31502,31493,31501,,4,16,2,16,7,0,3
19,31827,32340,31889,31851,31851,31848,31848,34,2,3,24,24,1,3
20,32622,32908,32628,32628,32628,32624,32624,2,4,6,6,6,1,3
22,34110,34895,34117,34117,34117,,,2,0,0,7,7,0,3
23,35297,35757,35309,35309,35301,35308,,4,12,0,12,4,0,3
24,36081,36543,36106,36106,36101,36095,36095,9,24,14,25,20,2,3
25,37777,38366,37783,37783,37783,37782,37782,1,6,0,6,6,1,3
26,38538,39803,38540,38540,38540,,,0,0,0,2,2,0,3
27,40177,40542,40202,40184,40184,40183,40183,18,5,5,7,7,2,3
28,41230,42215,41248,41248,41237,41247,,4,15,0,18,7,0,3
29,43072,43664,43118,43103,43103,43102,43102,14,4,4,31,31,2,3
30,43825,44108,43830,43830,43830,,,0,5,0,5,5,0,3
32,44850,48267,44854,44854,44854,,,1,1,0,4,4,0,3
33,48606,48955,48633,48633,48613,48632,,4,14,0,27,7,0,3
34,49118,49578,49127,49127,49127,49120,49120,5,7,9,9,9,1,3
35,49713,50014,49744,49744,49717,49743,,8,27,0,31,4,0,3
37,50401,50683,50412,50407,50407,,,5,0,0,6,6,0,3
38,50926,51273,50944,50944,50944,50943,50935,5,14,8,18,18,2,3
39,51718,52398,51720,51720,51720,,,2,2,2,2,2,0,3
40,52497,52732,52521,52521,52501,52511,,7,23,4,24,4,0,3
41,53697,55065,53731,53731,53701,53727,,8,30,4,34,4,0,3
42,55454,55693,55463,55463,55463,55456,55456,0,1,0,9,9,1,3
44,56414,56784,56431,56431,56421,56430,,4,14,6,17,7,0,3
45,57198,57943,57212,57212,57212,57208,57208,3,2,2,14,14,2,3
46,58145,58783,58146,58146,58146,,,0,1,1,1,1,0,3
47,58990,59268,59031,59031,58997,59023,,9,35,18,41,7,0,3
48,59630,59958,59642,59642,59642,,,1,10,10,12,12,0,3
49,60267,60664,60664,60325,60277,60319,60271,50,21,0,58,10,1,3
50,60865,62713,60872,60872,60872,60871,60871,0,2,2,7,7,1,3
51,63102,63694,63116,63116,63116,63106,63106,0,0,0,14,14,1,3
52,64238,64495,64269,64269,64245,64255,,8,28,1,31,7,0,3
53,65502,65969,65519,65519,65519,,,1,8,0,17,17,0,3
54,66257,66711,66309,66309,66261,66303,,12,48,12,52,4,0,3
56,68718,70144,68722,68722,68722,,,1,2,1,4,4,0,3
57,71275,71534,71366,71349,71349,71344,71344,4,2,4,40,40,4,3
58,71710,72015,71739,71739,71717,71727,,10,26,0,29,7,0,3
59,72286,72825,72306,72306,72293,72303,,4,16,0,20,7,0,3
60,73886,74275,73909,73909,73893,73903,,5,20,0,23,7,0,3
61,74654,75051,74667,74667,74667,74663,74663,5,13,13,13,13,1,3
62,75614,76567,75638,75638,75621,75631,,4,22,2,24,7,0,3
64,77102,77745,77151,77151,77109,77150,,13,44,2,49,7,0,3
65,77922,78221,77933,77933,77933,77932,77932,0,2,0,11,11,1,3
66,78766,79771,78783,78783,78773,78782,,4,14,0,17,7,0,3
67,80574,82375,80612,80612,80581,80607,,9,34,21,38,7,0,3
68,82518,83791,82520,82520,82520,,,0,0,0,2,2,0,3
69,84686,85799,84717,84717,84693,84703,,8,28,0,31,7,0,3
70,86206,87095,86214,86214,86214,86213,86213,0,1,2,8,8,1,3
71,87534,91156,87558,87558,87541,87551,,5,22,7,24,7,0,3
72,91249,91655,91305,91305,91285,91295,91271,12,52,28,56,36,1,3
73,92001,92723,92012,92001,92001,,,8,0,0,1,1,0,3
74,93134,93543,93151,93151,93141,93150,,5,14,0,17,7,0,3
75,93918,94814,93922,93922,93922,,,1,2,0,4,4,0,3
76,95102,95797,95112,95112,95112,95111,95111,0,1,0,10,10,2,3
77,96606,96806,96643,96643,96613,96639,,8,34,2,37,7,0,3
78,97566,98062,97585,97585,97573,97583,,4,15,0,19,7,0,3
79,98433,99919,98485,98485,98437,98479,,12,49,10,52,4,0,3
80,100356,100516,100368,100368,100368,100367,100367,0,12,10,12,12,2,3
81,100683,101498,100688,100688,100688,100686,100686,0,0,1,5,5,1,3
82,102110,103030,102120,102120,102120,,,0,0,0,10,10,0,3
83,103390,103927,103416,103416,103416,103395,103395,15,22,22,26,26,2,3
84,104094,104516,104099,104099,104099,,,0,3,0,5,5,0,3
85,104670,105291,104685,104685,104677,104684,,5,13,4,15,7,0,3
86,105630,106524,105649,105649,105649,105647,105647,4,16,19,19,19,2,3
87,106590,106732,106596,106596,106596,106595,106595,1,0,0,6,6,1,3
88,107153,107583,107166,107166,107166,,,0,3,2,8,8,0,3
89,107934,108307,107960,107960,107960,107951,107959,7,23,24,26,26,3,3
91,109790,110479,109831,109808,109808,109805,109805,12,15,8,18,18,1,3
92,110814,111049,110960,110869,110821,110847,,51,41,0,55,7,0,3
93,113414,113907,113416,113416,113416,,,0,0,0,2,2,0,3
94,114440,114955,114454,114454,114454,114447,114447,0,12,1,14,14,1,3
95,115534,116195,115542,115542,115542,,,1,2,2,8,8,0,3
96,116350,116765,116354,116354,116354,,,0,0,0,4,4,0,3
97,117355,118894,117402,117402,117365,117391,117359,13,42,0,47,10,1,3
98,119953,121513,119984,119984,119973,119983,119967,4,14,0,31,20,2,3
99,121808,122311,121815,121815,121815,121814,121814,1,7,0,7,7,1,3
100,122462,122916,122516,122516,122469,122511,,12,46,1,54,7,0,3
101,123134,124685,123205,123205,123157,123202,123151,12,44,1,71,23,2,3
102,125217,125884,125270,125270,125221,125263,,12,47,0,53,4,0,3
103,126865,127770,126876,126876,126876,,,6,10,10,11,11,0,3
104,128158,128543,128176,128176,128165,128175,,5,14,4,18,7,0,3
105,128955,129523,128958,128958,128958,,,0,3,2,3,3,0,3
106,129742,130559,129745,129745,129745,129744,129744,0,0,1,3,3,1,3
107,130702,131034,130730,130730,130725,130719,130719,5,16,0,28,23,4,3
109,132638,133215,132673,132673,132645,132671,,8,31,0,35,7,0,3
110,133390,133923,133401,133401,133401,133399,133399,3,9,2,11,11,1,3
111,134574,135041,134583,134583,134583,134578,134578,0,0,2,9,9,1,3
112,135628,147069,135630,135630,135630,,,0,2,2,2,2,0,3
