rally_id,gt_matched,gt_half,pool_half,sticky_half,pool_correct,sticky_correct,flipped_flag,loop_zone_flag
0,1,Bot,Top,,0,0,1,1
2,1,Bot,Bot,Bot,1,1,0,0
3,1,Bot,,,0,0,0,0
4,1,Top,,,0,0,0,0
5,1,Bot,Top,Top,0,0,0,0
6,1,Bot,Top,Top,0,0,0,0
8,1,Top,Top,,1,0,1,1
9,1,Top,Top,,1,0,1,0
10,1,Top,Top,,1,0,1,0
11,1,Bot,Top,,0,0,1,0
12,1,Top,Top,,1,0,1,1
13,1,Top,Top,,1,0,1,1
14,1,Top,,,0,0,0,0
16,1,Bot,Top,,0,0,1,1
17,1,Bot,,,0,0,0,0
18,1,Top,Top,,1,0,1,0
19,1,Bot,Bot,Bot,1,1,0,0
20,1,Top,Top,Top,1,1,0,0
22,1,Bot,,,0,0,0,0
23,1,Top,Top,,1,0,1,1
24,1,Top,Top,Top,1,1,0,0
25,1,Bot,Top,Top,0,0,0,0
26,1,Top,,,0,0,0,0
27,1,Bot,Bot,Bot,1,1,0,0
28,1,Bot,Top,,0,0,1,0
29,1,Bot,Bot,Bot,1,1,0,0
30,1,Top,,,0,0,0,0
32,1,Top,,,0,0,0,0
33,1,Top,Top,,1,0,1,0
34,1,Top,Top,Top,1,1,0,0
35,1,Top,Top,,1,0,1,1
37,1,Top,,,0,0,0,0
38,1,Top,Top,Top,1,1,0,0
39,1,Top,,,0,0,0,0
40,1,Top,Top,,1,0,1,1
41,1,Bot,Top,,0,0,1,1
42,1,Bot,Top,Top,0,0,0,0
44,0,,Top,,0,0,1,0
45,1,Bot,Top,Top,0,0,0,0
46,1,Bot,,,0,0,0,0
47,1,Top,Top,,1,0,1,1
48,1,Bot,,,0,0,0,0
49,1,Top,Top,Top,1,1,0,0
50,0,,Top,Top,0,0,0,0
51,1,Top,Top,Top,1,1,0,0
52,1,Bot,Top,,0,0,1,1
53,1,Bot,,,0,0,0,0
54,1,Top,Top,,1,0,1,1
56,1,Bot,,,0,0,0,0
57,1,Top,Top,Top,1,1,0,0
58,1,Bot,Top,,0,0,1,0
59,1,Top,Top,,1,0,1,0
60,1,Bot,Top,,0,0,1,1
61,1,Top,Top,Top,1,1,0,0
62,1,Top,Top,,1,0,1,0
64,1,Bot,Top,,0,0,1,1
65,1,Top,Bot,Bot,0,0,0,0
66,1,Bot,Top,,0,0,1,0
67,1,Bot,Top,,0,0,1,1
68,1,Bot,,,0,0,0,0
69,1,Top,Top,,1,0,1,1
70,1,Top,Top,Top,1,1,0,0
71,1,Top,Top,,1,0,1,1
72,1,Top,Top,Top,1,1,0,0
73,1,Bot,,,0,0,0,0
74,1,Bot,Top,,0,0,1,0
75,1,Top,,,0,0,0,0
76,1,Top,Top,Top,1,1,0,0
77,1,Bot,Top,,0,0,1,1
78,1,Top,Top,,1,0,1,1
79,1,Bot,Top,,0,0,1,1
80,1,Top,Top,Top,1,1,0,0
81,0,,Top,Top,0,0,0,0
82,1,Top,,,0,0,0,0
83,1,Bot,Bot,Bot,1,1,0,0
84,1,Bot,,,0,0,0,0
85,1,Bot,Top,,0,0,1,1
86,1,Bot,Top,Top,0,0,0,0
87,1,Bot,Bot,Bot,1,1,0,0
88,1,Top,,,0,0,0,0
89,1,Top,Top,Top,1,1,0,0
91,1,Bot,Bot,Bot,1,1,0,0
92,1,Top,Top,,1,0,1,1
93,1,Bot,,,0,0,0,0
94,1,Bot,Top,Top,0,0,0,0
95,1,Top,,,0,0,0,0
96,1,Bot,,,0,0,0,0
97,1,Bot,Top,Top,0,0,0,0
98,1,Bot,Top,Bot,0,1,0,0
99,1,Bot,Top,Top,0,0,0,0
100,1,Top,Top,,1,0,1,1
101,1,Top,Top,Top,1,1,0,0
102,1,Top,Top,,1,0,1,1
103,1,Top,,,0,0,0,0
104,1,Bot,Top,,0,0,1,0
105,1,Bot,,,0,0,0,0
106,1,Bot,Top,Top,0,0,0,0
107,0,,Top,Top,0,0,0,0
109,1,Top,Top,,1,0,1,1
110,1,Bot,Top,Top,0,0,0,0
111,1,Bot,Top,Top,0,0,0,0
112,1,Bot,,,0,0,0,0
