rally_id,final_contact,pool_landing_frame,loop_zone_flag,gt_half,pool_half
0,11646,11663,1,Bot,Top
8,17617,17647,1,Top,Top
9,19118,19133,0,Top,Top
10,20510,20527,0,Top,Top
11,22110,22143,0,Bot,Top
12,23422,23455,1,Top,Top
13,24318,24350,1,Top,Top
16,28702,28735,1,Bot,Top
18,31486,31501,0,Top,Top
23,35297,35308,1,Top,Top
28,41230,41247,0,Bot,Top
33,48606,48632,0,Top,Top
35,49713,49743,1,Top,Top
40,52497,52511,1,Top,Top
41,53697,53727,1,Bot,Top
44,56414,56430,0,,Top
47,58990,59023,1,Top,Top
52,64238,64255,1,Bot,Top
54,66257,66303,1,Top,Top
58,71710,71727,0,Bot,Top
59,72286,72303,0,Top,Top
60,73886,73903,1,Bot,Top
62,75614,75631,0,Top,Top
64,77102,77150,1,Bot,Top
66,78766,78782,0,Bot,Top
67,80574,80607,1,Bot,Top
69,84686,84703,1,Top,Top
71,87534,87551,1,Top,Top
74,93134,93150,0,Bot,Top
77,96606,96639,1,Bot,Top
78,97566,97583,1,Top,Top
79,98433,98479,1,Bot,Top
85,104670,104684,1,Bot,Top
92,110814,110847,1,Top,Top
100,122462,122511,1,Top,Top
102,125217,125263,1,Top,Top
104,128158,128175,0,Bot,Top
109,132638,132671,1,Top,Top
