configuration_id,window_id,gt_rally_id,first_or_last,gt_frame,buffer_start,buffer_end,buffer_has_candidate,selected_candidate_frame,additional_candidate_count,strict_tolerance_base30,strict_tolerance_frames,candidate_gt_relation,matched_gt_rally_id,matched_gt_frame,predicted_boundary_classification,associated_predicted_span_id,associated_predicted_span_start,associated_predicted_span_end,candidate_predicted_rally_id,candidate_assigned_to_associated_span,candidate_span_relation,required_boundary_extension_frames
static_shuttleset_homography/sset_01/tracknet-stride-8,0,0,first,11496,11421,11540,False,,0,5,4,no_candidate,,,covered,3,11331,11668,,,no_candidate,
static_shuttleset_homography/sset_01/tracknet-stride-8,1,0,last,11582,11540,11658,True,11567,2,5,4,no_gt_stroke_match,,,covered,3,11331,11668,3,True,inside_associated_span,0
static_shuttleset_homography/sset_01/tracknet-stride-8,2,1,first,11881,11806,11924,True,11894,1,5,4,no_gt_stroke_match,,,covered,4,11877,12005,4,True,inside_associated_span,0
static_shuttleset_homography/sset_01/tracknet-stride-8,3,1,last,11965,11924,12041,True,11950,3,5,4,other_gt_stroke_match,1,11952,covered,4,11877,12005,4,True,inside_associated_span,0
static_shuttleset_homography/sset_01/tracknet-stride-8,4,2,first,12298,12223,12374,True,12302,4,5,4,first_last_stroke_match,2,12298,covered,5,12287,12979,5,True,inside_associated_span,0
static_shuttleset_homography/sset_01/tracknet-stride-8,5,2,last,12942,12867,13018,True,12945,4,5,4,first_last_stroke_match,2,12942,covered,5,12287,12979,5,True,inside_associated_span,0
static_shuttleset_homography/sset_01/tracknet-stride-8,6,3,first,13434,13359,13479,True,13452,1,5,4,other_gt_stroke_match,3,13456,covered,6,13429,14291,6,True,inside_associated_span,0
static_shuttleset_homography/sset_01/tracknet-stride-8,7,3,last,13523,13479,13599,True,13521,4,5,4,first_last_stroke_match,3,13523,covered,6,13429,14291,6,True,inside_associated_span,0
static_shuttleset_homography/sset_01/tracknet-stride-8,8,4,first,13923,13848,13999,True,13918,4,5,4,no_gt_stroke_match,,,covered,6,13429,14291,6,True,inside_associated_span,0
static_shuttleset_homography/sset_01/tracknet-stride-8,9,4,last,14245,14170,14321,True,14254,4,5,4,no_gt_stroke_match,,,covered,6,13429,14291,6,True,inside_associated_span,0
static_shuttleset_homography/sset_01/tracknet-stride-8,10,5,first,14943,14868,14990,True,14939,1,5,4,first_last_stroke_match,5,14943,covered,7,14938,15041,7,True,inside_associated_span,0
