window_id,rally_id,edge,window_start,window_end,row_kind,gt_frame,candidate_frame,offset_frames
0,0,first,11421,11540,unmatched_gt,11496,,
1,0,last,11540,11658,matched,11582,11567,-15
1,0,last,11540,11658,unmatched_candidate,,11633,
1,0,last,11540,11658,unmatched_candidate,,11646,
2,1,first,11806,11924,matched,11881,11894,13
2,1,first,11806,11924,unmatched_candidate,,11919,
3,1,last,11924,12041,matched,11965,11950,-15
3,1,last,11924,12041,unmatched_candidate,,11937,
3,1,last,11924,12041,unmatched_candidate,,11981,
3,1,last,11924,12041,unmatched_candidate,,11998,
4,2,first,12223,12374,matched,12298,12302,4
4,2,first,12223,12374,unmatched_candidate,,12289,
4,2,first,12223,12374,unmatched_candidate,,12330,
4,2,first,12223,12374,unmatched_candidate,,12358,
4,2,first,12223,12374,unmatched_candidate,,12372,
5,2,last,12867,13018,matched,12942,12945,3
5,2,last,12867,13018,unmatched_candidate,,12878,
5,2,last,12867,13018,unmatched_candidate,,12910,
5,2,last,12867,13018,unmatched_candidate,,12932,
5,2,last,12867,13018,unmatched_candidate,,12966,
6,3,first,13359,13479,matched,13434,13452,18
6,3,first,13359,13479,unmatched_candidate,,13475,
7,3,last,13479,13599,matched,13523,13521,-2
7,3,last,13479,13599,unmatched_candidate,,13500,
7,3,last,13479,13599,unmatched_candidate,,13550,
7,3,last,13479,13599,unmatched_candidate,,13569,
7,3,last,13479,13599,unmatched_candidate,,13582,
8,4,first,13848,13999,matched,13923,13918,-5
8,4,first,13848,13999,unmatched_candidate,,13857,
8,4,first,13848,13999,unmatched_candidate,,13942,
8,4,first,13848,13999,unmatched_candidate,,13966,
8,4,first,13848,13999,unmatched_candidate,,13976,
9,4,last,14170,14321,matched,14245,14254,9
9,4,last,14170,14321,unmatched_candidate,,14186,
9,4,last,14170,14321,unmatched_candidate,,14222,
9,4,last,14170,14321,unmatched_candidate,,14272,
9,4,last,14170,14321,unmatched_candidate,,14286,
10,5,first,14868,14990,matched,14943,14939,-4
10,5,first,14868,14990,unmatched_candidate,,14977,
11,5,last,14990,15111,matched,15035,15025,-10
11,5,last,14990,15111,unmatched_candidate,,15006,
12,6,first,15299,15404,matched,15374,15374,0
13,6,last,15404,15509,matched,15433,15454,21
13,6,last,15404,15509,unmatched_candidate,,15409,
13,6,last,15404,15509,unmatched_candidate,,15502,
14,7,first,15729,15843,matched,15804,15809,5
14,7,first,15729,15843,unmatched_candidate,,15825,
14,7,first,15729,15843,unmatched_candidate,,15841,
15,7,last,15843,15957,matched,15881,15873,-8
15,7,last,15843,15957,unmatched_candidate,,15854,
15,7,last,15843,15957,unmatched_candidate,,15905,
15,7,last,15843,15957,unmatched_candidate,,15918,
15,7,last,15843,15957,unmatched_candidate,,15937,
16,8,first,16178,16329,matched,16253,16257,4
16,8,first,16178,16329,unmatched_candidate,,16289,
16,8,first,16178,16329,unmatched_candidate,,16310,
16,8,first,16178,16329,unmatched_candidate,,16321,
17,8,last,16724,16875,matched,16799,16801,2
17,8,last,16724,16875,unmatched_candidate,,16737,
17,8,last,16724,16875,unmatched_candidate,,16771,
18,9,first,17348,17499,matched,17423,17425,2
18,9,first,17348,17499,unmatched_candidate,,17444,
18,9,first,17348,17499,unmatched_candidate,,17474,
18,9,first,17348,17499,unmatched_candidate,,17493,
19,9,last,17521,17672,matched,17596,17601,5
19,9,last,17521,17672,unmatched_candidate,,17544,
19,9,last,17521,17672,unmatched_candidate,,17567,
19,9,last,17521,17672,unmatched_candidate,,17617,
20,10,first,17915,18066,matched,17990,17985,-5
20,10,first,17915,18066,unmatched_candidate,,17999,
20,10,first,17915,18066,unmatched_candidate,,18030,
20,10,first,17915,18066,unmatched_candidate,,18047,
21,10,last,18987,19138,matched,19062,19057,-5
21,10,last,18987,19138,unmatched_candidate,,19021,
21,10,last,18987,19138,unmatched_candidate,,19086,
21,10,last,18987,19138,unmatched_candidate,,19105,
21,10,last,18987,19138,unmatched_candidate,,19118,
22,11,first,19508,19659,matched,19583,19587,4
22,11,first,19508,19659,unmatched_candidate,,19619,
22,11,first,19508,19659,unmatched_candidate,,19652,
23,11,last,20385,20536,matched,20460,20462,2
23,11,last,20385,20536,unmatched_candidate,,20398,
23,11,last,20385,20536,unmatched_candidate,,20425,
23,11,last,20385,20536,unmatched_candidate,,20446,
23,11,last,20385,20536,unmatched_candidate,,20489,
23,11,last,20385,20536,unmatched_candidate,,20510,
24,12,first,20931,21082,matched,21006,21020,14
24,12,first,20931,21082,unmatched_candidate,,20961,
24,12,first,20931,21082,unmatched_candidate,,20974,
24,12,first,20931,21082,unmatched_candidate,,20990,
24,12,first,20931,21082,unmatched_candidate,,21052,
25,12,last,22005,22156,matched,22080,22079,-1
25,12,last,22005,22156,unmatched_candidate,,22016,
25,12,last,22005,22156,unmatched_candidate,,22097,
25,12,last,22005,22156,unmatched_candidate,,22110,
26,13,first,22983,23134,matched,23058,23054,-4
26,13,first,22983,23134,unmatched_candidate,,23073,
26,13,first,22983,23134,unmatched_candidate,,23093,
26,13,first,22983,23134,unmatched_candidate,,23115,
27,13,last,23337,23488,matched,23412,23422,10
27,13,last,23337,23488,unmatched_candidate,,23337,
27,13,last,23337,23488,unmatched_candidate,,23375,
28,14,first,23777,23928,matched,23852,23857,5
