video_id,case_id,court_parent,scene_index,start_frame,end_frame,n_frames,sampled_frame_indices,quad_source,raw_tl_x,raw_tl_y,raw_tr_x,raw_tr_y,raw_br_x,raw_br_y,raw_bl_x,raw_bl_y,peak_tl,peak_tr,peak_br,peak_bl,corner_source_tl,corner_source_tr,corner_source_br,corner_source_bl,fallback_reproj_line_px,fallback_reproj_anchor_px,fallback_gate_line_frac,fallback_gate_anchor_frac,fallback_n_lines_used,fallback_n_correspondences,fallback_max_sagitta_px,exactly_two_frame_count,exactly_two_frame_fraction,scene_valid,consensus_distance_px,consensus_flagged,active_tl_x,active_tl_y,active_tr_x,active_tr_y,active_br_x,active_br_y,active_bl_x,active_bl_y
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,0,0,751,751,"[37,112,187,262,337,413,488,563,638,713]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,1,751,768,17,"[751,753,755,756,758,760,762,763,765,767]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,2,768,1500,732,"[804,877,951,1024,1097,1170,1243,1317,1390,1463]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,3,1500,1536,36,"[1501,1505,1509,1512,1516,1519,1523,1527,1530,1534]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,4,1536,2260,724,"[1572,1644,1717,1789,1861,1934,2006,2079,2151,2223]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,5,2260,2304,44,"[2262,2266,2271,2275,2279,2284,2288,2293,2297,2301]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,6,2304,3009,705,"[2339,2409,2480,2550,2621,2691,2762,2832,2903,2973]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,7,3009,3072,63,"[3012,3018,3024,3031,3037,3043,3049,3056,3062,3068]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,8,3072,3747,675,"[3105,3173,3240,3308,3375,3443,3510,3578,3645,3713]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,9,3747,3840,93,"[3751,3760,3770,3779,3788,3798,3807,3816,3826,3835]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,10,3840,5246,1406,"[3910,4050,4191,4332,4472,4613,4753,4894,5035,5175]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,11,5246,5376,130,"[5252,5265,5278,5291,5304,5317,5330,5343,5356,5369]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,12,5376,6005,629,"[5407,5470,5533,5596,5659,5721,5784,5847,5910,5973]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,13,6005,6784,779,"[6043,6121,6199,6277,6355,6433,6511,6589,6667,6745]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,14,6784,7492,708,"[6819,6890,6961,7031,7102,7173,7244,7315,7385,7456]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,15,7492,7552,60,"[7495,7501,7507,7513,7519,7525,7531,7537,7543,7549]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,16,7552,8242,690,"[7586,7655,7724,7793,7862,7931,8000,8069,8138,8207]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,17,8242,8318,76,"[8245,8253,8261,8268,8276,8283,8291,8299,8306,8314]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,18,8318,9751,1433,"[8389,8532,8676,8819,8962,9106,9249,9392,9536,9679]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,19,9751,9856,105,"[9756,9766,9777,9787,9798,9808,9819,9829,9840,9850]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,20,9856,10487,631,"[9887,9950,10013,10076,10139,10203,10266,10329,10392,10455]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,21,10487,11104,617,"[10517,10579,10641,10702,10764,10826,10888,10949,11011,11073]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,22,11104,11167,63,"[11107,11113,11119,11126,11132,11138,11144,11151,11157,11163]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,23,11167,11311,144,"[11174,11188,11203,11217,11231,11246,11260,11275,11289,11303]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,24,11311,12825,1514,"[11386,11538,11689,11840,11992,12143,12295,12446,12597,12749]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,25,12825,12951,126,"[12831,12843,12856,12869,12881,12894,12906,12919,12932,12944]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,26,12951,13091,140,"[12958,12972,12986,13000,13014,13028,13042,13056,13070,13084]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,27,13091,14203,1112,"[13146,13257,13369,13480,13591,13702,13813,13925,14036,14147]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,28,14203,14271,68,"[14206,14213,14220,14226,14233,14240,14247,14254,14260,14267]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,29,14271,14369,98,"[14275,14285,14295,14305,14315,14324,14334,14344,14354,14364]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,30,14369,14445,76,"[14372,14380,14388,14395,14403,14410,14418,14426,14433,14441]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,31,14445,14593,148,"[14452,14467,14482,14496,14511,14526,14541,14556,14570,14585]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,32,14593,14682,89,"[14597,14606,14615,14624,14633,14641,14650,14659,14668,14677]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,33,14682,14778,96,"[14686,14696,14706,14715,14725,14734,14744,14754,14763,14773]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
15,sset_15/tracknet-stride-8,detected_ckn_opencv_consensus,34,14778,14798,20,"[14779,14781,14783,14785,14787,14789,14791,14793,14795,14797]",,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,false,,,,,,,,,,
