rally_id,horizon_seconds,horizon_frames,final_contact_frame,requested_end_frame,safe_end_frame,effective_end_frame,closure_reasons,strict_landing_frame,strict_landing_x_norm,strict_landing_y_norm,strict_landing_half,strict_landing_at_border,strict_landing_net_ender,capped_landing_frame,capped_landing_x_norm,capped_landing_y_norm,capped_landing_half,capped_landing_at_border,capped_landing_net_ender,strict_verdict,strict_winner,strict_verdict_source,capped_verdict,capped_winner,capped_verdict_source,landing_changed,winner_changed
0,1.0,25,3457,3482,3471,3471,sustained_loss,3469,-0.10449717811033088,-0.00490463362599255,Top,false,false,3469,-0.10449717811033088,-0.00490463362599255,Top,false,false,lost,Top,landing_geometry,lost,Top,landing_geometry,false,false
0,2.0,50,3457,3507,3471,3471,sustained_loss,3469,-0.10449717811033088,-0.00490463362599255,Top,false,false,3469,-0.10449717811033088,-0.00490463362599255,Top,false,false,lost,Top,landing_geometry,lost,Top,landing_geometry,false,false
0,3.0,75,3457,3532,3471,3471,sustained_loss,3469,-0.10449717811033088,-0.00490463362599255,Top,false,false,3469,-0.10449717811033088,-0.00490463362599255,Top,false,false,lost,Top,landing_geometry,lost,Top,landing_geometry,false,false
2,1.0,25,4351,4376,4404,4376,horizon_cap,4394,-0.4867721933943447,0.24305371262569378,Top,false,false,4375,-0.7126873014657987,-0.5873722139402845,Top,false,false,lost,Top,next_server,lost,Top,next_server,true,false
2,2.0,50,4351,4401,4404,4401,horizon_cap,4394,-0.4867721933943447,0.24305371262569378,Top,false,false,4394,-0.4867721933943447,0.24305371262569378,Top,false,false,lost,Top,next_server,lost,Top,next_server,false,false
2,3.0,75,4351,4426,4404,4404,definitive_exclusion,4394,-0.4867721933943447,0.24305371262569378,Top,false,false,4394,-0.4867721933943447,0.24305371262569378,Top,false,false,lost,Top,next_server,lost,Top,next_server,false,false
3,1.0,25,11646,11671,11668,11668,definitive_exclusion,,,,,,,,,,,,,,,,,,,false,false
3,2.0,50,11646,11696,11668,11668,definitive_exclusion,,,,,,,,,,,,,,,,,,,false,false
3,3.0,75,11646,11721,11668,11668,definitive_exclusion,,,,,,,,,,,,,,,,,,,false,false
5,1.0,25,12966,12991,12986,12986,definitive_exclusion,12978,0.8194183297580098,0.5058152868584544,Bot,false,true,12978,0.8194183297580098,0.5058152868584544,Bot,false,true,won,Top,next_server,won,Top,next_server,false,false
5,2.0,50,12966,13016,12986,12986,definitive_exclusion,12978,0.8194183297580098,0.5058152868584544,Bot,false,true,12978,0.8194183297580098,0.5058152868584544,Bot,false,true,won,Top,next_server,won,Top,next_server,false,false
5,3.0,75,12966,13041,12986,12986,definitive_exclusion,12978,0.8194183297580098,0.5058152868584544,Bot,false,true,12978,0.8194183297580098,0.5058152868584544,Bot,false,true,won,Top,next_server,won,Top,next_server,false,false
6,1.0,25,14286,14311,14290,14290,definitive_exclusion,,,,,,,,,,,,,,,,,,,false,false
6,2.0,50,14286,14336,14290,14290,definitive_exclusion,,,,,,,,,,,,,,,,,,,false,false
6,3.0,75,14286,14361,14290,14290,definitive_exclusion,,,,,,,,,,,,,,,,,,,false,false
8,1.0,25,15502,15527,15508,15508,definitive_exclusion,15507,1.3993115247773003,-0.7653723020339571,Top,false,false,15507,1.3993115247773003,-0.7653723020339571,Top,false,false,lost,Bot,next_server,lost,Bot,next_server,false,false
8,2.0,50,15502,15552,15508,15508,definitive_exclusion,15507,1.3993115247773003,-0.7653723020339571,Top,false,false,15507,1.3993115247773003,-0.7653723020339571,Top,false,false,lost,Bot,next_server,lost,Bot,next_server,false,false
8,3.0,75,15502,15577,15508,15508,definitive_exclusion,15507,1.3993115247773003,-0.7653723020339571,Top,false,false,15507,1.3993115247773003,-0.7653723020339571,Top,false,false,lost,Bot,next_server,lost,Bot,next_server,false,false
9,1.0,25,15966,15991,15969,15969,definitive_exclusion,15968,0.31315712304104465,-0.14948243697577038,Top,false,false,15968,0.31315712304104465,-0.14948243697577038,Top,false,false,lost,Top,landing_geometry,lost,Top,landing_geometry,false,false
9,2.0,50,15966,16016,15969,15969,definitive_exclusion,15968,0.31315712304104465,-0.14948243697577038,Top,false,false,15968,0.31315712304104465,-0.14948243697577038,Top,false,false,lost,Top,landing_geometry,lost,Top,landing_geometry,false,false
9,3.0,75,15966,16041,15969,15969,definitive_exclusion,15968,0.31315712304104465,-0.14948243697577038,Top,false,false,15968,0.31315712304104465,-0.14948243697577038,Top,false,false,lost,Top,landing_geometry,lost,Top,landing_geometry,false,false
11,1.0,25,17617,17642,17662,17642,horizon_cap,,,,,,,,,,,,,won,Bot,next_server,won,Bot,next_server,false,false
11,2.0,50,17617,17667,17662,17662,definitive_exclusion,,,,,,,,,,,,,won,Bot,next_server,won,Bot,next_server,false,false
11,3.0,75,17617,17692,17662,17662,definitive_exclusion,,,,,,,,,,,,,won,Bot,next_server,won,Bot,next_server,false,false
12,1.0,25,19118,19143,19134,19134,definitive_exclusion,,,,,,,,,,,,,lost,Top,next_server,lost,Top,next_server,false,false
12,2.0,50,19118,19168,19134,19134,definitive_exclusion,,,,,,,,,,,,,lost,Top,next_server,lost,Top,next_server,false,false
12,3.0,75,19118,19193,19134,19134,definitive_exclusion,,,,,,,,,,,,,lost,Top,next_server,lost,Top,next_server,false,false
13,1.0,25,20510,20535,20542,20535,horizon_cap,,,,,,,,,,,,,lost,Top,next_server,lost,Top,next_server,false,false
13,2.0,50,20510,20560,20542,20542,definitive_exclusion,,,,,,,,,,,,,lost,Top,next_server,lost,Top,next_server,false,false
13,3.0,75,20510,20585,20542,20542,definitive_exclusion,,,,,,,,,,,,,lost,Top,next_server,lost,Top,next_server,false,false
14,1.0,25,22110,22135,22147,22135,horizon_cap,,,,,,,,,,,,,won,Top,next_server,won,Top,next_server,false,false
14,2.0,50,22110,22160,22147,22147,definitive_exclusion,,,,,,,,,,,,,won,Top,next_server,won,Top,next_server,false,false
14,3.0,75,22110,22185,22147,22147,definitive_exclusion,,,,,,,,,,,,,won,Top,next_server,won,Top,next_server,false,false
