window_id,rally_id,edge,window_start,window_end,row_kind,gt_frame,candidate_frame,offset_frames
0,0,first,23586,23737,matched,23661,23665,4
0,0,first,23586,23737,unmatched_candidate,,23702,
0,0,first,23586,23737,unmatched_candidate,,23723,
0,0,first,23586,23737,unmatched_candidate,,23734,
1,0,last,23795,23946,matched,23870,23870,0
1,0,last,23795,23946,unmatched_candidate,,23804,
1,0,last,23795,23946,unmatched_candidate,,23824,
1,0,last,23795,23946,unmatched_candidate,,23918,
2,1,first,24296,24447,matched,24371,24369,-2
2,1,first,24296,24447,unmatched_candidate,,24382,
2,1,first,24296,24447,unmatched_candidate,,24402,
2,1,first,24296,24447,unmatched_candidate,,24422,
3,1,last,24570,24721,matched,24645,24643,-2
3,1,last,24570,24721,unmatched_candidate,,24590,
3,1,last,24570,24721,unmatched_candidate,,24619,
3,1,last,24570,24721,unmatched_candidate,,24686,
4,2,first,25040,25164,matched,25115,25134,19
4,2,first,25040,25164,unmatched_candidate,,25152,
5,2,last,25164,25287,matched,25211,25217,6
5,2,last,25164,25287,unmatched_candidate,,25199,
5,2,last,25164,25287,unmatched_candidate,,25230,
6,3,first,25754,25837,matched,25829,25826,-3
7,3,last,25837,25920,matched,25844,25839,-5
7,3,last,25837,25920,unmatched_candidate,,25867,
7,3,last,25837,25920,unmatched_candidate,,25886,
8,4,first,26124,26275,matched,26199,26225,26
8,4,first,26124,26275,unmatched_candidate,,26248,
8,4,first,26124,26275,unmatched_candidate,,26273,
9,5,first,27499,27583,matched,27574,27569,-5
10,5,last,27583,27666,matched,27590,27587,-3
10,5,last,27583,27666,unmatched_candidate,,27614,
10,5,last,27583,27666,unmatched_candidate,,27651,
11,6,first,27978,28129,matched,28053,28049,-4
11,6,first,27978,28129,unmatched_candidate,,28070,
11,6,first,27978,28129,unmatched_candidate,,28090,
11,6,first,27978,28129,unmatched_candidate,,28119,
12,6,last,28346,28497,matched,28421,28405,-16
12,6,last,28346,28497,unmatched_candidate,,28350,
12,6,last,28346,28497,unmatched_candidate,,28378,
12,6,last,28346,28497,unmatched_candidate,,28478,
13,7,first,29051,29168,matched,29126,29121,-5
13,7,first,29051,29168,unmatched_candidate,,29132,
13,7,first,29051,29168,unmatched_candidate,,29158,
14,7,last,29168,29284,matched,29208,29223,15
14,7,last,29168,29284,unmatched_candidate,,29177,
14,7,last,29168,29284,unmatched_candidate,,29246,
15,8,first,29692,29843,matched,29767,29761,-6
15,8,first,29692,29843,unmatched_candidate,,29784,
15,8,first,29692,29843,unmatched_candidate,,29818,
16,8,last,29973,30124,matched,30048,30049,1
16,8,last,29973,30124,unmatched_candidate,,29985,
