samples_per_marking,fixed_k,shortlists_identical,calls,cost_ratio,replay_rate,projected_28_view_total_s_if_only_finite_scores_changes,projected_whole_run_saving_fraction,source
4,1024,1102,3369,0.32,0.3271000296823983,6853.28,0.16929939393939397,claude_evidence/prefilter/summary.txt
4,2048,1552,3369,0.36,0.46067082220243394,6935.44,0.15934060606060607,claude_evidence/prefilter/summary.txt
4,4096,2089,3369,0.41,0.6200653012763432,7038.14,0.14689212121212114,claude_evidence/prefilter/summary.txt
4,8192,2624,3369,0.51,0.7788661323834966,7243.54,0.1219951515151515,claude_evidence/prefilter/summary.txt
8,1024,1444,3369,0.38,0.4286138319976254,6976.52,0.15436121212121212,claude_evidence/prefilter/summary.txt
8,2048,2445,3369,0.41,0.7257346393588602,7038.14,0.14689212121212114,claude_evidence/prefilter/summary.txt
8,4096,3099,3369,0.47,0.9198575244879786,7161.38,0.1319539393939394,claude_evidence/prefilter/summary.txt
8,8192,3321,3369,0.57,0.9857524487978628,7366.78,0.10705696969696976,claude_evidence/prefilter/summary.txt
16,1024,2471,3369,0.47,0.7334520629266845,7161.38,0.1319539393939394,claude_evidence/prefilter/summary.txt
16,2048,3291,3369,0.51,0.9768477292965272,7243.54,0.1219951515151515,claude_evidence/prefilter/summary.txt
16,4096,3368,3369,0.57,0.9997031760166222,7366.78,0.10705696969696976,claude_evidence/prefilter/summary.txt
16,8192,3369,3369,0.66,1.0,7551.64,0.08464969696969693,claude_evidence/prefilter/summary.txt
