view	eligible	chosen error	best eligible error	ranks of good courts (error)
am1_window_00_frame_54	126	0.31	0.31	1(0.31) 6(0.41) 10(0.41)
am2_window_00_frame_150	295	0.32	0.22	1(0.32) 6(0.27) 7(0.27) 15(0.22) 18(0.25) 21(0.26)
am2_window_01_frame_28019	241	0.69	0.46	34(0.55) 38(0.52) 46(0.48) 50(0.46)
am3_window_00_frame_0	518	0.26	0.18	1(0.26) 7(0.18) 10(0.20) 12(0.23) 18(0.24) 23(0.19) 24(0.21) 25(0.27)
am3_window_02_frame_17174	503	0.59	0.17	10(0.18) 11(0.23) 19(0.25) 28(0.25) 29(0.27) 36(0.22) 41(0.17) 42(0.25)
gxBQ_window_00_frame_0	179	0.34	0.23	5(0.23) 85(0.26) 121(0.25)
gxBQ_window_00_frame_5	29	0.23	0.23	1(0.23)
gxBQ_window_00_frame_689	211	1.18	0.43	14(0.43)
gxBQ_window_03_frame_77876	78	1.40	0.41	3(0.41)
letterboxed_short_frame_78	696	0.18	0.17	1(0.18) 2(0.23) 3(0.19) 4(0.18) 5(0.22) 6(0.17) 7(0.21) 8(0.22)
