view	source	build position	courts in pair	within K
am1_window_00_frame_54	line template	-	-	-
am2_window_00_frame_150	G1	138	15100	True
am2_window_01_frame_28019	G1	1	9890	True
am3_window_00_frame_0	G1	172	2292	True
am3_window_02_frame_17174	G1	221	21218	True
gxBQ_window_00_frame_0	G0	5047	8210	False
gxBQ_window_00_frame_5	line template	-	-	-
gxBQ_window_00_frame_689	line template	-	-	-
gxBQ_window_03_frame_77876	line template	-	-	-
letterboxed_short_frame_78	G0	22	69848	True
shuttleset_03_scene_0016	G1	1333	28962	True
shuttleset_03_scene_0017	G1	3857	31930	False
shuttleset_03_scene_0019	G1	11600	20618	False
shuttleset_03_scene_0023	G1	14895	34164	False
shuttleset_03_scene_0032	G1	3628	52010	False
shuttleset_03_scene_0034	G1	2006	29576	True
shuttleset_21_scene_0034	G1	5969	24056	False
shuttleset_21_scene_0039	G1	1481	13260	True
shuttleset_21_scene_0044	G0	2040	104538	True
sset_21_gloiZ_gTJaE_frame_00000001	G1	3	11474	True
sset_21_gloiZ_gTJaE_frame_00014336	G1	9	90	True
sset_21_gloiZ_gTJaE_frame_00100347	G0	12539	54440	False
