view	deepest_kept	deepest_top256	deepest_top128	deepest_top5_picks	chosen_depth
am1_window_00_frame_54	65931	8011	2359	-	template
am2_window_00_frame_150	15641	783	351	219	59
am2_window_01_frame_28019	17499	1689	1491	367	75
am3_window_00_frame_0	20965	2477	488	295	163
am3_window_02_frame_17174	45567	5721	3373	123	47
gxBQ_window_00_frame_0	54647	3187	1427	45	45
gxBQ_window_00_frame_5	70021	10389	10045	67	template
gxBQ_window_00_frame_689	55059	4699	4031	87	template
gxBQ_window_03_frame_77876	70121	2261	2097	21	template
letterboxed_short_frame_78	25601	7133	5109	165	85
shuttleset_03_scene_0016	61916	2391	833	59	42
shuttleset_03_scene_0017	38399	2171	879	79	51
shuttleset_03_scene_0019	49701	3805	2081	431	429
shuttleset_03_scene_0023	40467	2255	829	335	335
shuttleset_03_scene_0032	35625	5063	2539	539	353
shuttleset_03_scene_0034	41133	3037	2559	61	61
shuttleset_21_scene_0034	69733	5457	1497	217	217
shuttleset_21_scene_0039	51124	8973	5074	1087	363
shuttleset_21_scene_0044	52023	4487	4487	99	5
sset_21_gloiZ_gTJaE_frame_00000001	55215	8382	2175	101	19
sset_21_gloiZ_gTJaE_frame_00014336	2807	1317	735	63	63
sset_21_gloiZ_gTJaE_frame_00038228	91	91	91	-	-
sset_21_gloiZ_gTJaE_frame_00100347	25863	21087	8227	16169	5
