view	chosen	chosen_parent_ranks	same	parents_before	parents_after	best_cut_place	best_cut_gap	best_cut_ranks	best_cut_px	without_winner_parent_px	notes
am1_window_00_frame_54	line_template:rectangle_98207:template_12/child	line_template#7	True	768	640	111	0.3756	G0#194	2406.3	30.9	
am2_window_00_frame_150	G1:30:137/child	G1#107	True	767	640	10	0.0202	G0#200	15.4	17.4	
am2_window_01_frame_28019	G1:15:0/child	G1#34	True	764	636	-	-	-	-	12.4	
am3_window_00_frame_0	G1:43:171/child	G1#30	True	768	640	130	0.0961	G0#211	65.4	7.6	
am3_window_02_frame_17174	G1:30:220/child	G1#14	True	761	633	211	0.2830	G0#205	256.1	17.7	
gxBQ_window_00_frame_0	G0:22:5046/child	G0#96	True	768	640	6	0.0299	G0#145	8.8	21.3	
gxBQ_window_00_frame_5	line_template:rectangle_85795:template_72/child	line_template#98	True	768	640	7	0.1909	G0#165	1114.1	28.8	
gxBQ_window_00_frame_689	line_template:rectangle_59439:template_10/child	line_template#206	True	768	640	11	0.0676	G0#221	1134.6	20.2	
gxBQ_window_03_frame_77876	line_template:rectangle_73390:template_72/child	line_template#242	True	768	640	-	-	-	-	11.5	
letterboxed_short_frame_78	G0:0:21/child	G0#4	True	520	392	44	0.0482	G0#220	9.1	34.0	
shuttleset_03_scene_0016	G0:1:4532	G0#5 G1#16	True	736	610	345	0.3970	G0#134	774.4	2.3	
shuttleset_03_scene_0017	G1:1:3856	G1#3	True	762	638	236	0.5148	G0#241	185.9	5.1	
shuttleset_03_scene_0019	G1:1:11599/child	G1#25	True	768	640	245	0.4065	G0#131	145.2	1.0	
shuttleset_03_scene_0023	G1:1:14894/child	G1#41	True	702	588	179	0.4074	G0#134	719.7	1.3	
shuttleset_03_scene_0032	G1:1:3627/child	G1#7	True	728	604	240	0.3458	G0#226	146.4	2.0	
shuttleset_03_scene_0034	G1:1:2005	G1#5	True	761	636	167	0.4603	G0#132	74.0	3.4	
shuttleset_21_scene_0034	G0:1:63649/child	G0#10 G1#11	True	701	585	33	0.0928	G0#220	3.9	3.6	
shuttleset_21_scene_0039	G1:1:1480/child	G1#24	True	750	633	304	0.2713	G0#254	51.4	3.0	
shuttleset_21_scene_0044	G0:1:2039/child	G0#1	True	768	640	259	0.3962	G0#158	467.4	3.1	
sset_21_gloiZ_gTJaE_frame_00000001	G0:180:580/child	G0#76 G1#138	True	731	608	111	0.2010	G0#150	39.3	13.7	
sset_21_gloiZ_gTJaE_frame_00000300	-	-	True	256	256	-	-	-	-	-	
sset_21_gloiZ_gTJaE_frame_00009558	-	-	True	256	256	-	-	-	-	-	
sset_21_gloiZ_gTJaE_frame_00014336	G1:16:8	G1#80	True	685	557	5	0.0200	G0#138	2298.4	534.7	
sset_21_gloiZ_gTJaE_frame_00023893	-	-	True	256	256	-	-	-	-	-	
sset_21_gloiZ_gTJaE_frame_00038228	-	-	True	418	384	-	-	-	-	-	
sset_21_gloiZ_gTJaE_frame_00062120	-	-	True	256	256	-	-	-	-	-	
sset_21_gloiZ_gTJaE_frame_00090790	-	-	True	256	256	-	-	-	-	-	
sset_21_gloiZ_gTJaE_frame_00100347	G0:47:12538/child	G0#38	True	531	403	2	0.0060	G0#233	286.5	528.2	
# caps {'G0': 128, 'G1': 256}: parents 17741 -> 14947 (84.3% kept)
