view	place	old_gap	new_gap	same_court	new_px_from_chosen
am1_window_00_frame_54	2	0.0116	0.0116	True	30.9
am1_window_00_frame_54	3	0.0182	0.0182	True	262.0
am1_window_00_frame_54	4	0.0182	0.0182	True	12.8
am1_window_00_frame_54	5	0.0283	0.0283	True	34.8
am2_window_00_frame_150	2	0.0006	0.0006	True	17.4
am2_window_00_frame_150	3	0.0006	0.0006	True	17.4
am2_window_00_frame_150	4	0.0032	0.0032	True	18.5
am2_window_00_frame_150	5	0.0052	0.0052	True	17.0
am2_window_01_frame_28019	2	0.0015	0.0015	True	12.4
am2_window_01_frame_28019	3	0.0067	0.0110	False	17.9
am2_window_01_frame_28019	4	0.0109	0.0120	False	306.4
am2_window_01_frame_28019	5	0.0110	0.0175	False	18.7
am3_window_00_frame_0	2	0.0087	0.0111	False	22.7
am3_window_00_frame_0	3	0.0107	0.0147	False	1.9
am3_window_00_frame_0	4	0.0111	0.0168	False	6.8
am3_window_00_frame_0	5	0.0147	0.0178	False	5.0
am3_window_02_frame_17174	2	0.0115	0.0308	False	12.1
am3_window_02_frame_17174	3	0.0308	0.0320	False	12.2
am3_window_02_frame_17174	4	0.0320	0.0365	False	11.7
am3_window_02_frame_17174	5	0.0365	0.0393	False	14.6
gxBQ_window_00_frame_0	2	0.0020	0.0020	True	21.3
gxBQ_window_00_frame_0	3	0.0116	0.1278	False	28.9
gxBQ_window_00_frame_0	4	0.0191	0.1334	False	23.5
gxBQ_window_00_frame_0	5	0.0201	0.2060	False	7764.0
gxBQ_window_00_frame_5	2	0.0089	0.0089	True	3.1
gxBQ_window_00_frame_5	3	0.0720	0.0720	True	28.8
gxBQ_window_00_frame_5	4	0.1276	0.1276	True	39.3
gxBQ_window_00_frame_5	5	0.1895	0.1895	True	8802.0
gxBQ_window_00_frame_689	2	0.0058	0.0059	False	20.5
gxBQ_window_00_frame_689	3	0.0059	0.0240	False	6.0
gxBQ_window_00_frame_689	4	0.0116	0.0343	False	17.7
gxBQ_window_00_frame_689	5	0.0240	0.0355	False	15.1
gxBQ_window_03_frame_77876	2	0.0021	0.0021	True	11.5
gxBQ_window_03_frame_77876	3	0.0022	0.0022	True	15.2
gxBQ_window_03_frame_77876	4	0.0057	0.0057	True	17.6
gxBQ_window_03_frame_77876	5	0.0142	0.0237	False	15.2
letterboxed_short_frame_78	2	0.0034	0.0034	True	34.0
letterboxed_short_frame_78	3	0.0065	0.0065	True	5.6
letterboxed_short_frame_78	4	0.0074	0.0074	True	17.3
letterboxed_short_frame_78	5	0.0080	0.0080	True	31.0
shuttleset_03_scene_0016	2	0.0133	0.0133	True	2.3
shuttleset_03_scene_0016	3	0.0209	0.0209	True	2.4
shuttleset_03_scene_0016	4	0.0301	0.0301	True	3.5
shuttleset_03_scene_0016	5	0.0321	0.0321	True	5.0
shuttleset_03_scene_0017	2	0.0088	0.0088	True	2.1
shuttleset_03_scene_0017	3	0.0241	0.0241	True	5.1
shuttleset_03_scene_0017	4	0.0244	0.0244	True	5.1
shuttleset_03_scene_0017	5	0.0291	0.0291	True	4.9
shuttleset_03_scene_0019	2	0.0077	0.0077	True	1.0
shuttleset_03_scene_0019	3	0.0110	0.0110	True	3.0
shuttleset_03_scene_0019	4	0.0173	0.0173	True	2.8
shuttleset_03_scene_0019	5	0.0193	0.0193	True	1.7
shuttleset_03_scene_0023	2	0.0009	0.0009	True	2.6
shuttleset_03_scene_0023	3	0.0103	0.0103	True	1.3
shuttleset_03_scene_0023	4	0.0132	0.0132	True	1.8
shuttleset_03_scene_0023	5	0.0205	0.0205	True	4.9
shuttleset_03_scene_0032	2	0.0037	0.0037	True	2.0
shuttleset_03_scene_0032	3	0.0066	0.0066	True	1.3
shuttleset_03_scene_0032	4	0.0110	0.0110	True	2.1
shuttleset_03_scene_0032	5	0.0137	0.0137	True	3.9
shuttleset_03_scene_0034	2	0.0018	0.0018	True	3.4
shuttleset_03_scene_0034	3	0.0129	0.0129	True	4.5
shuttleset_03_scene_0034	4	0.0174	0.0174	True	5.0
shuttleset_03_scene_0034	5	0.0192	0.0192	True	5.0
shuttleset_21_scene_0034	2	0.0086	0.0086	True	3.6
shuttleset_21_scene_0034	3	0.0147	0.0147	True	3.6
