view	G0	G1	line templates	parents	gated courts
am1_window_00_frame_54	256	256	256	768	126
am2_window_00_frame_150	256	256	256	767	295
am2_window_01_frame_28019	256	256	256	765	241
am3_window_00_frame_0	256	256	256	768	518
am3_window_02_frame_17174	256	256	256	761	503
gxBQ_window_00_frame_0	256	256	256	768	179
gxBQ_window_00_frame_5	256	256	256	768	29
gxBQ_window_00_frame_689	256	256	256	761	211
gxBQ_window_03_frame_77876	256	256	256	766	78
letterboxed_short_frame_78	256	4	256	516	696
shuttleset_03_scene_0016	256	256	256	736	1273
shuttleset_03_scene_0017	256	256	256	758	799
shuttleset_03_scene_0019	256	256	256	768	1081
shuttleset_03_scene_0023	256	256	256	702	1182
shuttleset_03_scene_0032	256	256	256	728	1212
shuttleset_03_scene_0034	256	256	256	759	924
shuttleset_21_scene_0034	256	256	256	701	1130
shuttleset_21_scene_0039	256	256	256	749	983
shuttleset_21_scene_0044	256	256	256	768	1173
sset_21_gloiZ_gTJaE_frame_00000001	256	256	256	731	249
sset_21_gloiZ_gTJaE_frame_00000300	0	0	256	256	0
sset_21_gloiZ_gTJaE_frame_00009558	0	0	256	256	0
sset_21_gloiZ_gTJaE_frame_00014336	256	0	256	512	5
sset_21_gloiZ_gTJaE_frame_00023893	0	0	256	256	0
sset_21_gloiZ_gTJaE_frame_00038228	95	0	256	351	0
sset_21_gloiZ_gTJaE_frame_00062120	0	0	256	256	0
sset_21_gloiZ_gTJaE_frame_00090790	0	0	256	256	0
sset_21_gloiZ_gTJaE_frame_00100347	256	0	256	512	13
