view	chosen court (deg)	G0 within 10 / 20 deg	G1 within 10 / 20 deg	shortlists 5th-95th percentile (deg)
am1_window_00_frame_54	80	0 / 0 of 256	0 / 0 of 256	88-90
am2_window_00_frame_150	83	0 / 0 of 256	0 / 0 of 256	80-89
am2_window_01_frame_28019	83	0 / 0 of 256	0 / 0 of 256	76-88
am3_window_00_frame_0	83	0 / 0 of 256	0 / 0 of 256	82-89
am3_window_02_frame_17174	83	0 / 0 of 256	0 / 0 of 256	80-88
gxBQ_window_00_frame_0	83	0 / 0 of 256	0 / 0 of 256	80-87
gxBQ_window_00_frame_5	83	0 / 0 of 256	0 / 0 of 256	81-89
gxBQ_window_00_frame_689	83	0 / 0 of 256	0 / 0 of 256	79-87
gxBQ_window_03_frame_77876	83	0 / 0 of 256	0 / 0 of 256	80-89
letterboxed_short_frame_78	66	0 / 0 of 256	0 / 0 of 4	51-77
shuttleset_03_scene_0016	73	0 / 0 of 256	0 / 0 of 256	36-79
shuttleset_03_scene_0017	73	0 / 0 of 256	0 / 0 of 256	35-90
shuttleset_03_scene_0019	73	0 / 0 of 256	0 / 0 of 256	34-88
shuttleset_03_scene_0023	73	0 / 0 of 256	0 / 0 of 256	51-82
shuttleset_03_scene_0032	73	0 / 0 of 256	0 / 0 of 256	51-82
shuttleset_03_scene_0034	73	0 / 0 of 256	0 / 8 of 256	31-79
shuttleset_21_scene_0034	74	0 / 0 of 256	0 / 0 of 256	52-78
shuttleset_21_scene_0039	73	0 / 0 of 256	0 / 0 of 256	56-82
shuttleset_21_scene_0044	73	0 / 0 of 256	0 / 0 of 256	44-82
sset_21_gloiZ_gTJaE_frame_00000001	71	0 / 0 of 256	0 / 0 of 256	71-88
sset_21_gloiZ_gTJaE_frame_00000300	-	0 / 0 of 0	0 / 0 of 0	-
sset_21_gloiZ_gTJaE_frame_00009558	-	0 / 0 of 0	0 / 0 of 0	-
sset_21_gloiZ_gTJaE_frame_00014336	23	0 / 0 of 256	0 / 0 of 0	56-84
sset_21_gloiZ_gTJaE_frame_00023893	-	0 / 0 of 0	0 / 0 of 0	-
sset_21_gloiZ_gTJaE_frame_00038228	-	0 / 0 of 95	0 / 0 of 0	46-87
sset_21_gloiZ_gTJaE_frame_00062120	-	0 / 0 of 0	0 / 0 of 0	-
sset_21_gloiZ_gTJaE_frame_00090790	-	0 / 0 of 0	0 / 0 of 0	-
sset_21_gloiZ_gTJaE_frame_00100347	86	0 / 0 of 256	0 / 0 of 0	53-88
