gxBQ_window_00_frame_0 B results {'final': 256, 'final_camera_eligible': 24, 'line_winner_id': '22:4579', 'paint_winner_id': '22:4588', 'line_control_working_px': 16.518704722486188, 'paint_control_working_px': 7.662057046439755, 'nearest_final_px': 7.662057046439755}
gxBQ_window_00_frame_0 B camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '22:4579', 'paint_winner_id': '22:4588', 'line_control_working_px': 16.518704722486188, 'paint_control_working_px': 7.662057046439755, 'nearest_final_px': 7.662057046439755}
gxBQ_window_00_frame_0 B all_camera {'final': 2557, 'final_camera_eligible': 2557, 'line_winner_id': '22:4579', 'paint_winner_id': '22:4588', 'line_control_working_px': 16.518704722486188, 'paint_control_working_px': 7.662057046439755, 'nearest_final_px': 7.662057046439755}
gxBQ_window_00_frame_0 M results {'final': 256, 'final_camera_eligible': 54, 'line_winner_id': '106:1732', 'paint_winner_id': '211:19062', 'line_control_working_px': 577.6346368531953, 'paint_control_working_px': 379.2568320601342, 'nearest_final_px': 314.26722846234986}
gxBQ_window_00_frame_0 M camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '106:62748', 'paint_winner_id': '196:10345', 'line_control_working_px': 552.7768124519984, 'paint_control_working_px': 364.35694915610566, 'nearest_final_px': 339.10499428853467}
gxBQ_window_00_frame_0 M all_camera {'final': 3265, 'final_camera_eligible': 3265, 'line_winner_id': '106:62748', 'paint_winner_id': '76:177', 'line_control_working_px': 552.7768124519984, 'paint_control_working_px': 327.7423477406592, 'nearest_final_px': 34.593953535616635}
gxBQ_window_00_frame_0 R results {'final': 256, 'final_camera_eligible': 26, 'line_winner_id': '143:11876', 'paint_winner_id': '143:11881', 'line_control_working_px': 10.353584826799539, 'paint_control_working_px': 13.298072204610625, 'nearest_final_px': 10.12827829589629}
gxBQ_window_00_frame_0 R camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '143:11876', 'paint_winner_id': '143:11881', 'line_control_working_px': 10.353584826799539, 'paint_control_working_px': 13.298072204610625, 'nearest_final_px': 10.12827829589629}
gxBQ_window_00_frame_0 R all_camera {'final': 2889, 'final_camera_eligible': 2889, 'line_winner_id': '143:11876', 'paint_winner_id': '143:11881', 'line_control_working_px': 10.353584826799539, 'paint_control_working_px': 13.298072204610625, 'nearest_final_px': 8.669358396922016}
gxBQ_window_00_frame_5 B results {'final': 256, 'final_camera_eligible': 10, 'line_winner_id': '181:1029', 'paint_winner_id': '181:973', 'line_control_working_px': 513.5770286877262, 'paint_control_working_px': 525.6757588708447, 'nearest_final_px': 460.512583116901}
gxBQ_window_00_frame_5 B camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '181:29836', 'paint_winner_id': '226:379', 'line_control_working_px': 530.2742410936708, 'paint_control_working_px': 442.77857230276817, 'nearest_final_px': 342.1359455984928}
gxBQ_window_00_frame_5 B all_camera {'final': 2290, 'final_camera_eligible': 2290, 'line_winner_id': '181:29836', 'paint_winner_id': '10:1274', 'line_control_working_px': 530.2742410936708, 'paint_control_working_px': 530.6919717208152, 'nearest_final_px': 89.94437038533145}
gxBQ_window_00_frame_5 M results {'final': 256, 'final_camera_eligible': 3, 'line_winner_id': '17:152', 'paint_winner_id': '17:152', 'line_control_working_px': 9.85611833886418, 'paint_control_working_px': 9.85611833886418, 'nearest_final_px': 9.808679386810004}
gxBQ_window_00_frame_5 M camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '17:152', 'paint_winner_id': '17:152', 'line_control_working_px': 9.85611833886418, 'paint_control_working_px': 9.85611833886418, 'nearest_final_px': 9.85611833886418}
gxBQ_window_00_frame_5 M all_camera {'final': 1586, 'final_camera_eligible': 1586, 'line_winner_id': '17:152', 'paint_winner_id': '17:152', 'line_control_working_px': 9.85611833886418, 'paint_control_working_px': 9.85611833886418, 'nearest_final_px': 9.85611833886418}
gxBQ_window_00_frame_5 R results {'final': 256, 'final_camera_eligible': 5, 'line_winner_id': '181:295', 'paint_winner_id': '181:5775', 'line_control_working_px': 365.0947044068397, 'paint_control_working_px': 378.5058628705041, 'nearest_final_px': 355.82408434167775}
gxBQ_window_00_frame_5 R camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '31:310', 'paint_winner_id': '226:24001', 'line_control_working_px': 514.5783225581662, 'paint_control_working_px': 448.12643184983347, 'nearest_final_px': 281.62906125339555}
gxBQ_window_00_frame_5 R all_camera {'final': 2216, 'final_camera_eligible': 2216, 'line_winner_id': '31:310', 'paint_winner_id': '46:1080', 'line_control_working_px': 514.5783225581662, 'paint_control_working_px': 2237.92838895055, 'nearest_final_px': 89.34202520290259}
am2_window_00_frame_150 B results {'final': 256, 'final_camera_eligible': 19, 'line_winner_id': '30:30', 'paint_winner_id': '30:33', 'line_control_working_px': 140.90438024179898, 'paint_control_working_px': 12.440459866054885, 'nearest_final_px': 8.328087035738806}
am2_window_00_frame_150 B camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '30:30', 'paint_winner_id': '30:33', 'line_control_working_px': 140.90438024179898, 'paint_control_working_px': 12.440459866054885, 'nearest_final_px': 8.328087035738806}
am2_window_00_frame_150 B all_camera {'final': 1138, 'final_camera_eligible': 1138, 'line_winner_id': '30:30', 'paint_winner_id': '30:33', 'line_control_working_px': 140.90438024179898, 'paint_control_working_px': 12.440459866054885, 'nearest_final_px': 8.328087035738806}
am2_window_00_frame_150 M results {'final': 256, 'final_camera_eligible': 46, 'line_winner_id': '30:755', 'paint_winner_id': '30:340', 'line_control_working_px': 141.68528063674088, 'paint_control_working_px': 8.835463445270314, 'nearest_final_px': 4.283711523628782}
am2_window_00_frame_150 M camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '30:755', 'paint_winner_id': '30:340', 'line_control_working_px': 141.68528063674088, 'paint_control_working_px': 8.835463445270314, 'nearest_final_px': 4.283711523628782}
am2_window_00_frame_150 M all_camera {'final': 724, 'final_camera_eligible': 724, 'line_winner_id': '30:755', 'paint_winner_id': '30:340', 'line_control_working_px': 141.68528063674088, 'paint_control_working_px': 8.835463445270314, 'nearest_final_px': 4.283711523628782}
am2_window_00_frame_150 R results {'final': 256, 'final_camera_eligible': 29, 'line_winner_id': '30:22', 'paint_winner_id': '30:92', 'line_control_working_px': 138.8070248451345, 'paint_control_working_px': 12.597138600342241, 'nearest_final_px': 8.916764053719593}
am2_window_00_frame_150 R camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '30:22', 'paint_winner_id': '30:92', 'line_control_working_px': 138.8070248451345, 'paint_control_working_px': 12.597138600342241, 'nearest_final_px': 8.916764053719593}
am2_window_00_frame_150 R all_camera {'final': 1080, 'final_camera_eligible': 1080, 'line_winner_id': '30:22', 'paint_winner_id': '30:92', 'line_control_working_px': 138.8070248451345, 'paint_control_working_px': 12.597138600342241, 'nearest_final_px': 8.916764053719593}
am2_window_01_frame_28019 B results {'final': 256, 'final_camera_eligible': 0, 'line_winner_id': None, 'paint_winner_id': None, 'line_control_working_px': None, 'paint_control_working_px': None, 'nearest_final_px': 82.76788699274056}
am2_window_01_frame_28019 B camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '16:1800', 'paint_winner_id': '16:1796', 'line_control_working_px': 145.10883816197224, 'paint_control_working_px': 17.175107148262498, 'nearest_final_px': 15.968836401784497}
am2_window_01_frame_28019 B all_camera {'final': 1434, 'final_camera_eligible': 1434, 'line_winner_id': '16:1800', 'paint_winner_id': '184:4123', 'line_control_working_px': 145.10883816197224, 'paint_control_working_px': 892.1417982443226, 'nearest_final_px': 15.968836401784497}
am2_window_01_frame_28019 M results {'final': 256, 'final_camera_eligible': 147, 'line_winner_id': '15:6258', 'paint_winner_id': '15:6259', 'line_control_working_px': 142.2218858383079, 'paint_control_working_px': 6.963210522420421, 'nearest_final_px': 2.0671354381011637}
am2_window_01_frame_28019 M camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '15:6258', 'paint_winner_id': '15:6259', 'line_control_working_px': 142.2218858383079, 'paint_control_working_px': 6.963210522420421, 'nearest_final_px': 2.0671354381011637}
am2_window_01_frame_28019 M all_camera {'final': 1303, 'final_camera_eligible': 1302, 'line_winner_id': '15:6258', 'paint_winner_id': '15:6259', 'line_control_working_px': 142.2218858383079, 'paint_control_working_px': 6.963210522420421, 'nearest_final_px': 2.0671354381011637}
am2_window_01_frame_28019 R results {'final': 256, 'final_camera_eligible': 85, 'line_winner_id': '15:41', 'paint_winner_id': '15:2141', 'line_control_working_px': 143.36994971650333, 'paint_control_working_px': 6.0639948497547005, 'nearest_final_px': 2.436997273896431}
am2_window_01_frame_28019 R camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '15:41', 'paint_winner_id': '15:2141', 'line_control_working_px': 143.36994971650333, 'paint_control_working_px': 6.0639948497547005, 'nearest_final_px': 2.436997273896431}
am2_window_01_frame_28019 R all_camera {'final': 1500, 'final_camera_eligible': 1500, 'line_winner_id': '15:41', 'paint_winner_id': '15:2141', 'line_control_working_px': 143.36994971650333, 'paint_control_working_px': 6.0639948497547005, 'nearest_final_px': 2.436997273896431}
am3_window_00_frame_0 B results {'final': 256, 'final_camera_eligible': 48, 'line_winner_id': '43:22603', 'paint_winner_id': '43:22627', 'line_control_working_px': 5.761894342618948, 'paint_control_working_px': 8.480378542032417, 'nearest_final_px': 4.270903089748126}
am3_window_00_frame_0 B camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '43:22603', 'paint_winner_id': '43:22627', 'line_control_working_px': 5.761894342618948, 'paint_control_working_px': 8.480378542032417, 'nearest_final_px': 4.270903089748126}
am3_window_00_frame_0 B all_camera {'final': 1801, 'final_camera_eligible': 1801, 'line_winner_id': '43:22603', 'paint_winner_id': '43:22627', 'line_control_working_px': 5.761894342618948, 'paint_control_working_px': 8.480378542032417, 'nearest_final_px': 4.270903089748126}
am3_window_00_frame_0 M results {'final': 256, 'final_camera_eligible': 24, 'line_winner_id': '30:23199', 'paint_winner_id': '30:23196', 'line_control_working_px': 28.586363819584637, 'paint_control_working_px': 23.754903476791082, 'nearest_final_px': 20.547975939088186}
am3_window_00_frame_0 M camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '30:23199', 'paint_winner_id': '30:23196', 'line_control_working_px': 28.586363819584637, 'paint_control_working_px': 23.754903476791082, 'nearest_final_px': 20.547975939088186}
am3_window_00_frame_0 M all_camera {'final': 1386, 'final_camera_eligible': 1386, 'line_winner_id': '30:23199', 'paint_winner_id': '30:23196', 'line_control_working_px': 28.586363819584637, 'paint_control_working_px': 23.754903476791082, 'nearest_final_px': 20.547975939088186}
am3_window_00_frame_0 R results {'final': 256, 'final_camera_eligible': 9, 'line_winner_id': '32:2640', 'paint_winner_id': '43:13964', 'line_control_working_px': 136.91268387293488, 'paint_control_working_px': 58.16115245875667, 'nearest_final_px': 58.005274283335226}
am3_window_00_frame_0 R camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '32:2640', 'paint_winner_id': '43:15109', 'line_control_working_px': 136.91268387293488, 'paint_control_working_px': 74.30181711388762, 'nearest_final_px': 55.36726961396764}
am3_window_00_frame_0 R all_camera {'final': 2117, 'final_camera_eligible': 2117, 'line_winner_id': '32:2640', 'paint_winner_id': '43:15109', 'line_control_working_px': 136.91268387293488, 'paint_control_working_px': 74.30181711388762, 'nearest_final_px': 55.36726961396764}
shuttleset_03_scene_0017 B results {'final': 256, 'final_camera_eligible': 248, 'line_winner_id': '1:80', 'paint_winner_id': '1:132', 'line_control_working_px': 8.351491511728282, 'paint_control_working_px': 7.644150955607451, 'nearest_final_px': 3.55257611296746}
shuttleset_03_scene_0017 B camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '1:80', 'paint_winner_id': '1:132', 'line_control_working_px': 8.351491511728282, 'paint_control_working_px': 7.644150955607451, 'nearest_final_px': 3.55257611296746}
shuttleset_03_scene_0017 B all_camera {'final': 2130, 'final_camera_eligible': 2130, 'line_winner_id': '1:80', 'paint_winner_id': '1:132', 'line_control_working_px': 8.351491511728282, 'paint_control_working_px': 7.644150955607451, 'nearest_final_px': 3.55257611296746}
shuttleset_03_scene_0017 M results {'final': 256, 'final_camera_eligible': 252, 'line_winner_id': '1:3063', 'paint_winner_id': '1:3116', 'line_control_working_px': 9.07139873909438, 'paint_control_working_px': 8.380241066938758, 'nearest_final_px': 4.252261939249265}
shuttleset_03_scene_0017 M camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '1:3063', 'paint_winner_id': '1:3116', 'line_control_working_px': 9.07139873909438, 'paint_control_working_px': 8.380241066938758, 'nearest_final_px': 4.252261939249265}
shuttleset_03_scene_0017 M all_camera {'final': 2804, 'final_camera_eligible': 2804, 'line_winner_id': '1:3063', 'paint_winner_id': '1:3116', 'line_control_working_px': 9.07139873909438, 'paint_control_working_px': 8.380241066938758, 'nearest_final_px': 4.252261939249265}
shuttleset_03_scene_0017 R results {'final': 256, 'final_camera_eligible': 252, 'line_winner_id': '1:4', 'paint_winner_id': '1:39', 'line_control_working_px': 6.859032174800099, 'paint_control_working_px': 6.859032174800038, 'nearest_final_px': 2.416461572667488}
shuttleset_03_scene_0017 R camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '1:4', 'paint_winner_id': '1:39', 'line_control_working_px': 6.859032174800099, 'paint_control_working_px': 6.859032174800038, 'nearest_final_px': 2.416461572667488}
shuttleset_03_scene_0017 R all_camera {'final': 2391, 'final_camera_eligible': 2391, 'line_winner_id': '1:4', 'paint_winner_id': '1:39', 'line_control_working_px': 6.859032174800099, 'paint_control_working_px': 6.859032174800038, 'nearest_final_px': 2.416461572667488}
shuttleset_03_scene_0019 B results {'final': 256, 'final_camera_eligible': 255, 'line_winner_id': '1:60', 'paint_winner_id': '1:60', 'line_control_working_px': 3.924972818735088, 'paint_control_working_px': 3.924972818735088, 'nearest_final_px': 3.1339895224479752}
shuttleset_03_scene_0019 B camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '1:60', 'paint_winner_id': '1:60', 'line_control_working_px': 3.924972818735088, 'paint_control_working_px': 3.924972818735088, 'nearest_final_px': 3.1339895224479752}
shuttleset_03_scene_0019 B all_camera {'final': 2757, 'final_camera_eligible': 2757, 'line_winner_id': '1:60', 'paint_winner_id': '165:6702', 'line_control_working_px': 3.924972818735088, 'paint_control_working_px': 6297.028591544666, 'nearest_final_px': 3.1339895224479752}
shuttleset_03_scene_0019 M results {'final': 256, 'final_camera_eligible': 255, 'line_winner_id': '1:56', 'paint_winner_id': '1:56', 'line_control_working_px': 3.9320856633192003, 'paint_control_working_px': 3.9320856633192003, 'nearest_final_px': 3.128983994768575}
shuttleset_03_scene_0019 M camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '1:56', 'paint_winner_id': '1:56', 'line_control_working_px': 3.9320856633192003, 'paint_control_working_px': 3.9320856633192003, 'nearest_final_px': 3.128983994768575}
shuttleset_03_scene_0019 M all_camera {'final': 2594, 'final_camera_eligible': 2594, 'line_winner_id': '1:56', 'paint_winner_id': '105:6167', 'line_control_working_px': 3.9320856633192003, 'paint_control_working_px': 702.8168342029566, 'nearest_final_px': 3.128983994768575}
shuttleset_03_scene_0019 R results {'final': 256, 'final_camera_eligible': 245, 'line_winner_id': '1:23', 'paint_winner_id': '1:176', 'line_control_working_px': 3.6535683327421813, 'paint_control_working_px': 3.795694775171801, 'nearest_final_px': 2.738585581754632}
shuttleset_03_scene_0019 R camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '1:23', 'paint_winner_id': '1:176', 'line_control_working_px': 3.6535683327421813, 'paint_control_working_px': 3.795694775171801, 'nearest_final_px': 2.738585581754632}
shuttleset_03_scene_0019 R all_camera {'final': 2327, 'final_camera_eligible': 2327, 'line_winner_id': '1:23', 'paint_winner_id': '1:176', 'line_control_working_px': 3.6535683327421813, 'paint_control_working_px': 3.795694775171801, 'nearest_final_px': 2.738585581754632}
shuttleset_03_scene_0016 B results {'final': 256, 'final_camera_eligible': 248, 'line_winner_id': '1:60', 'paint_winner_id': '1:90', 'line_control_working_px': 2.5582070020190697, 'paint_control_working_px': 3.937496937174246, 'nearest_final_px': 2.328311646242912}
shuttleset_03_scene_0016 B camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '1:60', 'paint_winner_id': '1:90', 'line_control_working_px': 2.5582070020190697, 'paint_control_working_px': 3.937496937174246, 'nearest_final_px': 2.328311646242912}
shuttleset_03_scene_0016 B all_camera {'final': 2775, 'final_camera_eligible': 2775, 'line_winner_id': '1:60', 'paint_winner_id': '1:90', 'line_control_working_px': 2.5582070020190697, 'paint_control_working_px': 3.937496937174246, 'nearest_final_px': 2.328311646242912}
shuttleset_03_scene_0016 M results {'final': 256, 'final_camera_eligible': 249, 'line_winner_id': '1:57', 'paint_winner_id': '1:37', 'line_control_working_px': 2.97241847563416, 'paint_control_working_px': 3.2995572188212257, 'nearest_final_px': 2.8557410713905154}
shuttleset_03_scene_0016 M camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '1:57', 'paint_winner_id': '1:37', 'line_control_working_px': 2.97241847563416, 'paint_control_working_px': 3.2995572188212257, 'nearest_final_px': 2.8557410713905154}
shuttleset_03_scene_0016 M all_camera {'final': 2533, 'final_camera_eligible': 2533, 'line_winner_id': '1:57', 'paint_winner_id': '1:37', 'line_control_working_px': 2.97241847563416, 'paint_control_working_px': 3.2995572188212257, 'nearest_final_px': 2.8557410713905154}
shuttleset_03_scene_0016 R results {'final': 256, 'final_camera_eligible': 252, 'line_winner_id': '1:2', 'paint_winner_id': '1:674', 'line_control_working_px': 3.3024047962227137, 'paint_control_working_px': 3.8957900290831073, 'nearest_final_px': 2.6533711347666684}
shuttleset_03_scene_0016 R camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '1:2', 'paint_winner_id': '1:674', 'line_control_working_px': 3.3024047962227137, 'paint_control_working_px': 3.8957900290831073, 'nearest_final_px': 2.6533711347666684}
shuttleset_03_scene_0016 R all_camera {'final': 2703, 'final_camera_eligible': 2703, 'line_winner_id': '1:2', 'paint_winner_id': '1:674', 'line_control_working_px': 3.3024047962227137, 'paint_control_working_px': 3.8957900290831073, 'nearest_final_px': 2.6533711347666684}
shuttleset_21_scene_0020 B results {'final': 256, 'final_camera_eligible': 235, 'line_winner_id': '0:2', 'paint_winner_id': '0:2', 'line_control_working_px': 2.020504725257284, 'paint_control_working_px': 2.020504725257284, 'nearest_final_px': 2.020504725257284}
shuttleset_21_scene_0020 B camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '0:2', 'paint_winner_id': '0:2', 'line_control_working_px': 2.020504725257284, 'paint_control_working_px': 2.020504725257284, 'nearest_final_px': 2.020504725257284}
shuttleset_21_scene_0020 B all_camera {'final': 2404, 'final_camera_eligible': 2404, 'line_winner_id': '0:2', 'paint_winner_id': '0:2', 'line_control_working_px': 2.020504725257284, 'paint_control_working_px': 2.020504725257284, 'nearest_final_px': 2.020504725257284}
shuttleset_21_scene_0020 M results {'final': 256, 'final_camera_eligible': 239, 'line_winner_id': '0:2', 'paint_winner_id': '0:2', 'line_control_working_px': 2.020504725257284, 'paint_control_working_px': 2.020504725257284, 'nearest_final_px': 2.020504725257284}
shuttleset_21_scene_0020 M camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '0:2', 'paint_winner_id': '0:2', 'line_control_working_px': 2.020504725257284, 'paint_control_working_px': 2.020504725257284, 'nearest_final_px': 2.020504725257284}
shuttleset_21_scene_0020 M all_camera {'final': 2930, 'final_camera_eligible': 2930, 'line_winner_id': '0:2', 'paint_winner_id': '0:2', 'line_control_working_px': 2.020504725257284, 'paint_control_working_px': 2.020504725257284, 'nearest_final_px': 2.020504725257284}
