gxBQ_window_00_frame_0 B results {'final': 256, 'final_camera_eligible': 24, 'line_winner_id': '22:4579', 'paint_winner_id': '22:4588', 'line_control_working_px': 16.518704722486188, 'paint_control_working_px': 7.662057046439755, 'nearest_final_px': 7.662057046439755}
gxBQ_window_00_frame_0 B camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '22:4579', 'paint_winner_id': '22:4588', 'line_control_working_px': 16.518704722486188, 'paint_control_working_px': 7.662057046439755, 'nearest_final_px': 7.662057046439755}
gxBQ_window_00_frame_0 B all_camera {'final': 2557, 'final_camera_eligible': 2557, 'line_winner_id': '22:4579', 'paint_winner_id': '22:4588', 'line_control_working_px': 16.518704722486188, 'paint_control_working_px': 7.662057046439755, 'nearest_final_px': 7.662057046439755}
gxBQ_window_00_frame_5 B results {'final': 256, 'final_camera_eligible': 10, 'line_winner_id': '181:1029', 'paint_winner_id': '181:973', 'line_control_working_px': 513.5770286877262, 'paint_control_working_px': 525.6757588708447, 'nearest_final_px': 460.512583116901}
gxBQ_window_00_frame_5 B camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '181:29836', 'paint_winner_id': '226:379', 'line_control_working_px': 530.2742410936708, 'paint_control_working_px': 442.77857230276817, 'nearest_final_px': 342.1359455984928}
gxBQ_window_00_frame_5 B all_camera {'final': 2290, 'final_camera_eligible': 2290, 'line_winner_id': '181:29836', 'paint_winner_id': '10:1274', 'line_control_working_px': 530.2742410936708, 'paint_control_working_px': 530.6919717208152, 'nearest_final_px': 89.94437038533145}
am2_window_00_frame_150 B results {'final': 256, 'final_camera_eligible': 19, 'line_winner_id': '30:30', 'paint_winner_id': '30:33', 'line_control_working_px': 140.90438024179898, 'paint_control_working_px': 12.440459866054885, 'nearest_final_px': 8.328087035738806}
am2_window_00_frame_150 B camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '30:30', 'paint_winner_id': '30:33', 'line_control_working_px': 140.90438024179898, 'paint_control_working_px': 12.440459866054885, 'nearest_final_px': 8.328087035738806}
am2_window_00_frame_150 B all_camera {'final': 1138, 'final_camera_eligible': 1138, 'line_winner_id': '30:30', 'paint_winner_id': '30:33', 'line_control_working_px': 140.90438024179898, 'paint_control_working_px': 12.440459866054885, 'nearest_final_px': 8.328087035738806}
am2_window_01_frame_28019 B results {'final': 256, 'final_camera_eligible': 0, 'line_winner_id': None, 'paint_winner_id': None, 'line_control_working_px': None, 'paint_control_working_px': None, 'nearest_final_px': 82.76788699274056}
am2_window_01_frame_28019 B camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '16:1800', 'paint_winner_id': '16:1796', 'line_control_working_px': 145.10883816197224, 'paint_control_working_px': 17.175107148262498, 'nearest_final_px': 15.968836401784497}
am2_window_01_frame_28019 B all_camera {'final': 1434, 'final_camera_eligible': 1434, 'line_winner_id': '16:1800', 'paint_winner_id': '184:4123', 'line_control_working_px': 145.10883816197224, 'paint_control_working_px': 892.1417982443226, 'nearest_final_px': 15.968836401784497}
am3_window_00_frame_0 B results {'final': 256, 'final_camera_eligible': 48, 'line_winner_id': '43:22603', 'paint_winner_id': '43:22627', 'line_control_working_px': 5.761894342618948, 'paint_control_working_px': 8.480378542032417, 'nearest_final_px': 4.270903089748126}
am3_window_00_frame_0 B camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '43:22603', 'paint_winner_id': '43:22627', 'line_control_working_px': 5.761894342618948, 'paint_control_working_px': 8.480378542032417, 'nearest_final_px': 4.270903089748126}
am3_window_00_frame_0 B all_camera {'final': 1801, 'final_camera_eligible': 1801, 'line_winner_id': '43:22603', 'paint_winner_id': '43:22627', 'line_control_working_px': 5.761894342618948, 'paint_control_working_px': 8.480378542032417, 'nearest_final_px': 4.270903089748126}
shuttleset_03_scene_0017 B results {'final': 256, 'final_camera_eligible': 248, 'line_winner_id': '1:80', 'paint_winner_id': '1:132', 'line_control_working_px': 8.351491511728282, 'paint_control_working_px': 7.644150955607451, 'nearest_final_px': 3.55257611296746}
shuttleset_03_scene_0017 B camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '1:80', 'paint_winner_id': '1:132', 'line_control_working_px': 8.351491511728282, 'paint_control_working_px': 7.644150955607451, 'nearest_final_px': 3.55257611296746}
shuttleset_03_scene_0017 B all_camera {'final': 2130, 'final_camera_eligible': 2130, 'line_winner_id': '1:80', 'paint_winner_id': '1:132', 'line_control_working_px': 8.351491511728282, 'paint_control_working_px': 7.644150955607451, 'nearest_final_px': 3.55257611296746}
shuttleset_03_scene_0019 B results {'final': 256, 'final_camera_eligible': 255, 'line_winner_id': '1:60', 'paint_winner_id': '1:60', 'line_control_working_px': 3.924972818735088, 'paint_control_working_px': 3.924972818735088, 'nearest_final_px': 3.1339895224479752}
shuttleset_03_scene_0019 B camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '1:60', 'paint_winner_id': '1:60', 'line_control_working_px': 3.924972818735088, 'paint_control_working_px': 3.924972818735088, 'nearest_final_px': 3.1339895224479752}
shuttleset_03_scene_0019 B all_camera {'final': 2757, 'final_camera_eligible': 2757, 'line_winner_id': '1:60', 'paint_winner_id': '165:6702', 'line_control_working_px': 3.924972818735088, 'paint_control_working_px': 6297.028591544666, 'nearest_final_px': 3.1339895224479752}
shuttleset_03_scene_0016 B results {'final': 256, 'final_camera_eligible': 248, 'line_winner_id': '1:60', 'paint_winner_id': '1:90', 'line_control_working_px': 2.5582070020190697, 'paint_control_working_px': 3.937496937174246, 'nearest_final_px': 2.328311646242912}
shuttleset_03_scene_0016 B camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '1:60', 'paint_winner_id': '1:90', 'line_control_working_px': 2.5582070020190697, 'paint_control_working_px': 3.937496937174246, 'nearest_final_px': 2.328311646242912}
shuttleset_03_scene_0016 B all_camera {'final': 2775, 'final_camera_eligible': 2775, 'line_winner_id': '1:60', 'paint_winner_id': '1:90', 'line_control_working_px': 2.5582070020190697, 'paint_control_working_px': 3.937496937174246, 'nearest_final_px': 2.328311646242912}
shuttleset_21_scene_0020 B results {'final': 256, 'final_camera_eligible': 235, 'line_winner_id': '0:2', 'paint_winner_id': '0:2', 'line_control_working_px': 2.020504725257284, 'paint_control_working_px': 2.020504725257284, 'nearest_final_px': 2.020504725257284}
shuttleset_21_scene_0020 B camera_first {'final': 256, 'final_camera_eligible': 256, 'line_winner_id': '0:2', 'paint_winner_id': '0:2', 'line_control_working_px': 2.020504725257284, 'paint_control_working_px': 2.020504725257284, 'nearest_final_px': 2.020504725257284}
shuttleset_21_scene_0020 B all_camera {'final': 2404, 'final_camera_eligible': 2404, 'line_winner_id': '0:2', 'paint_winner_id': '0:2', 'line_control_working_px': 2.020504725257284, 'paint_control_working_px': 2.020504725257284, 'nearest_final_px': 2.020504725257284}
