case_id,candidate_id,population,existing_ruling,marking,interval,status,legacy_interval_pass,legacy_pass_station_fraction,observed_pass_stations,stations_with_any_measured_offset,unknown_offset_tests,run_lower_stations,run_upper_stations,run_lower_fraction,run_upper_fraction,clipped_span_working_px,station_spacing_working_px,lower_path_endpoint_span_working_px
am2_window_01_frame_28019,184:4123,ORIGINAL automatic_all_camera,paint winner; rejected as an incoherent court near the net top,left_doubles,0,measured,True,0.5416666666666666,13,24,0,6,6,0.25,0.25,451.4065277695967,19.626370772591162,98.13185386295581
am2_window_01_frame_28019,184:4123,ORIGINAL automatic_all_camera,paint winner; rejected as an incoherent court near the net top,left_singles,1,measured,True,0.625,15,24,0,3,3,0.125,0.125,461.85927577091843,20.080838076996454,40.16167615399291
am2_window_01_frame_28019,184:4123,ORIGINAL automatic_all_camera,paint winner; rejected as an incoherent court near the net top,centre,2,measured,True,0.7916666666666666,19,24,0,7,7,0.2916666666666667,0.2916666666666667,299.11504854069744,13.005002110465107,78.03001266279064
am2_window_01_frame_28019,184:4123,ORIGINAL automatic_all_camera,paint winner; rejected as an incoherent court near the net top,centre,3,measured,True,1.0,24,24,1,23,24,0.9583333333333334,1.0,54.16505836215605,2.3550025374850456,51.810055824671004
am2_window_01_frame_28019,184:4123,ORIGINAL automatic_all_camera,paint winner; rejected as an incoherent court near the net top,right_singles,4,measured,True,0.4166666666666667,10,24,3,3,3,0.125,0.125,210.5914850430634,9.156151523611452,18.312303047222905
am2_window_01_frame_28019,184:4123,ORIGINAL automatic_all_camera,paint winner; rejected as an incoherent court near the net top,right_doubles,5,measured,True,0.625,15,24,3,9,9,0.375,0.375,70.94364002253279,3.0845060879362083,24.676048703489666
am2_window_01_frame_28019,184:4123,ORIGINAL automatic_all_camera,paint winner; rejected as an incoherent court near the net top,far_baseline,6,measured,True,0.875,21,24,0,16,16,0.6666666666666666,0.6666666666666666,492.70427191897255,21.421924866042286,321.3288729906343
am2_window_01_frame_28019,184:4123,ORIGINAL automatic_all_camera,paint winner; rejected as an incoherent court near the net top,far_long_service,7,measured,True,0.9166666666666666,22,24,0,19,19,0.7916666666666666,0.7916666666666666,515.379684255917,22.407812358952913,403.34062246115246
am2_window_01_frame_28019,184:4123,ORIGINAL automatic_all_camera,paint winner; rejected as an incoherent court near the net top,far_short_service,8,measured,True,0.4583333333333333,11,24,0,2,2,0.08333333333333333,0.08333333333333333,333.43199639090807,14.49704332134383,14.49704332134383
am2_window_01_frame_28019,184:4123,ORIGINAL automatic_all_camera,paint winner; rejected as an incoherent court near the net top,near_short_service,9,measured,True,0.6666666666666666,16,24,0,10,10,0.4166666666666667,0.4166666666666667,212.78441640896196,9.251496365607041,83.26346729046338
