case_id,label,arm,fragments,dropped,marking_fragments,marking_dropped,merged_lines,directions,angle_to_control_x_deg,angle_to_control_y_deg,bound_px,best_fit_px,best_fit_pair,best_fit_groups,selection_identical_to_baseline
gxBQ_window_00_frame_0,GX0,baseline,751,0,36,0,106,16,0.2594,0.476,6.0226,6.7984,143,9 8,True
gxBQ_window_00_frame_0,GX0,person,751,69,36,0,105,16,0.1208,0.0908,1.2187,1.4983,20,1 6,False
gxBQ_window_00_frame_0,GX0,paint,751,543,36,17,105,16,0.1825,3.1024,15.3715,32.8164,21,1 7,False
gxBQ_window_00_frame_0,GX0,paint_person,751,565,36,17,92,16,0.1825,3.1024,15.3715,32.8164,19,1 5,False
gxBQ_window_00_frame_0,GX0,paint15,751,441,36,12,128,16,0.4644,1.6588,8.0712,17.5966,19,1 5,False
gxBQ_window_00_frame_0,GX0,paint25,751,603,36,19,79,16,0.4293,3.2816,15.1085,37.9493,20,1 6,False
gxBQ_window_00_frame_5,GX5,baseline,790,0,40,0,108,16,0.7045,1.9336,9.7287,23.8002,17,1 3,True
gxBQ_window_00_frame_5,GX5,person,790,70,40,1,107,16,0.6012,0.911,3.1306,11.472,17,1 3,False
gxBQ_window_00_frame_5,GX5,paint,790,585,40,18,102,16,0.5752,0.6755,4.3643,8.3955,21,1 7,False
gxBQ_window_00_frame_5,GX5,paint_person,790,606,40,18,87,16,0.5763,1.6343,6.0918,18.7612,19,1 5,False
gxBQ_window_00_frame_5,GX5,paint15,790,471,40,10,128,16,0.519,1.7263,8.4069,19.0972,33,2 4,False
gxBQ_window_00_frame_5,GX5,paint25,790,639,40,21,82,16,0.1478,0.6829,3.2778,6.2804,22,1 8,False
am2_window_00_frame_150,Am2-150,baseline,397,0,36,0,128,16,0.8151,0.2071,2.8589,3.2564,30,2 0,True
am2_window_00_frame_150,Am2-150,person,397,48,36,5,124,16,4.7268,0.1892,6.0943,8.8878,32,2 3,False
am2_window_00_frame_150,Am2-150,paint,397,243,36,14,68,16,5.0841,0.1654,8.6678,11.9797,28,1 14,False
am2_window_00_frame_150,Am2-150,paint_person,397,261,36,15,62,16,2.5166,0.1652,12.1127,14.3246,15,1 0,False
am2_window_00_frame_150,Am2-150,paint15,397,226,36,14,77,16,2.5455,0.221,7.4223,14.2515,195,13 0,False
am2_window_00_frame_150,Am2-150,paint25,397,260,36,14,59,16,2.8648,0.1652,3.9438,4.9373,15,1 0,False
am2_window_01_frame_28019,Am2-28019,baseline,416,0,32,0,128,16,0.4086,0.1233,2.5901,2.9722,15,1 0,True
am2_window_01_frame_28019,Am2-28019,person,416,116,32,3,128,16,0.0532,0.423,2.0596,5.1996,15,1 0,False
am2_window_01_frame_28019,Am2-28019,paint,416,257,32,12,80,16,0.2783,0.1808,2.1609,2.684,15,1 0,False
am2_window_01_frame_28019,Am2-28019,paint_person,416,305,32,15,58,16,0.2784,0.0198,0.2661,0.607,27,1 13,False
am2_window_01_frame_28019,Am2-28019,paint15,416,242,32,12,86,16,0.0858,0.0349,0.4855,0.5479,15,1 0,False
am2_window_01_frame_28019,Am2-28019,paint25,416,272,32,12,73,16,0.2783,0.0566,0.7451,0.842,15,1 0,False
am3_window_00_frame_0,Am3-0,baseline,507,0,52,0,128,16,0.442,0.1136,3.1258,3.7492,43,2 14,True
am3_window_00_frame_0,Am3-0,person,507,50,52,0,121,16,0.5307,0.1738,3.6555,4.1533,42,2 13,False
am3_window_00_frame_0,Am3-0,paint,507,381,52,13,52,16,0.6441,0.8241,6.0584,9.0149,16,1 2,False
am3_window_00_frame_0,Am3-0,paint_person,507,395,52,13,42,16,0.6441,0.0692,3.9991,4.6579,24,1 10,False
am3_window_00_frame_0,Am3-0,paint15,507,365,52,13,60,16,0.5309,0.0691,3.6555,4.2561,44,2 15,False
am3_window_00_frame_0,Am3-0,paint25,507,391,52,16,47,16,0.5309,0.0692,3.6555,4.2602,42,2 13,False
shuttleset_03_scene_0017,SS03-17,baseline,675,0,58,0,128,16,0.3069,0.2634,1.5212,1.9829,1,0 2,True
shuttleset_03_scene_0017,SS03-17,person,675,49,58,13,128,16,0.3069,0.2634,1.5212,1.9829,1,0 2,False
shuttleset_03_scene_0017,SS03-17,paint,675,286,58,3,128,16,2.5088,0.2659,1.8572,2.1159,1,0 2,False
shuttleset_03_scene_0017,SS03-17,paint_person,675,319,58,15,128,16,1.4581,0.3696,1.3269,2.0581,1,0 2,False
shuttleset_03_scene_0017,SS03-17,paint15,675,237,58,3,128,16,2.5088,0.0747,1.8572,1.9709,3,0 4,False
shuttleset_03_scene_0017,SS03-17,paint25,675,325,58,4,128,16,0.6392,0.2659,1.7276,1.9442,2,0 3,False
shuttleset_03_scene_0019,SS03-19,baseline,678,0,71,0,124,16,0.6275,0.1185,2.2033,2.2689,1,0 2,True
shuttleset_03_scene_0019,SS03-19,person,678,39,71,3,128,16,1.6107,0.1185,4.1998,4.5466,137,9 2,False
shuttleset_03_scene_0019,SS03-19,paint,678,289,71,13,128,16,5.9206,0.0457,3.5069,3.6861,2,0 3,False
shuttleset_03_scene_0019,SS03-19,paint_person,678,314,71,16,128,16,0.8126,0.0457,3.2095,3.2381,1,0 2,False
shuttleset_03_scene_0019,SS03-19,paint15,678,239,71,11,128,16,1.6128,0.1185,1.0558,1.2509,2,0 3,False
shuttleset_03_scene_0019,SS03-19,paint25,678,328,71,13,128,16,2.1165,0.0928,6.1753,6.2002,1,0 2,False
shuttleset_03_scene_0016,SS03-16,baseline,669,0,62,0,128,16,1.264,0.3428,0.958,1.5011,1,0 2,True
shuttleset_03_scene_0016,SS03-16,person,669,32,62,5,128,16,1.1071,0.3428,4.8837,5.0816,1,0 2,False
shuttleset_03_scene_0016,SS03-16,paint,669,281,62,11,128,16,0.2258,0.3048,1.6315,2.0264,1,0 2,False
shuttleset_03_scene_0016,SS03-16,paint_person,669,300,62,16,128,16,0.1478,0.3048,1.6315,2.0299,1,0 2,False
