case_id,label,arm,pair_id,pencils,direction_fit_px,nearest_combined_px_record,nearest_kept_by_kept_px_replay,nearest_distinct_by_distinct_px,axis,coordinates,enumerated,supported,supported_and_players,distinct,kept,ideal_markings_supported,ideal_markings_matched,ideal_player_compatible,cap_threshold_score,kept_support_counts,ideal_neighbourhood_supported_share,best_enumerated_px,best_supported_px,best_supported_and_players_px,best_distinct_px,best_kept_px,best_enumerated_rank,best_supported_rank,best_supported_and_players_rank,best_distinct_rank,best_kept_rank,best_enumerated_support,best_supported_support,best_supported_and_players_support,best_distinct_support,best_kept_support,best_enumerated_score,best_supported_score,best_supported_and_players_score,best_distinct_score,best_kept_score
gxBQ_window_00_frame_0,GX0,M,23,1 9,19.6506,33.8225,33.8225,23.2419,horizontal,5,4200,3362,3294,2358,512,2,- - - 88 71,True,0.5842,3:152 4:312 5:48,,23.4308,23.4308,23.4308,23.4308,33.5354,2228,2228,2228,2228,399,3,3,3,3,4,0.4051,0.4051,0.4051,0.4051,0.5958
gxBQ_window_00_frame_0,GX0,M,23,1 9,19.6506,33.8225,33.8225,23.2419,vertical,6,14880,12580,3326,2022,512,3,- 36 351 - - 3,True,0.5331,4:308 5:186 6:18,,18.9255,18.9255,18.9255,18.9255,24.6685,1999,1999,1999,1999,245,3,3,3,3,5,0.3327,0.3327,0.3327,0.3327,0.6064
am3_window_00_frame_0,Am3-0,R,43,2 14,4.2686,44.2078,46.0998,6.1864,horizontal,5,66420,56256,47468,23864,512,5,7 197 32 3 19,True,0.8851,5:512,1.0,4.2783,4.2783,4.2783,6.2409,49.6472,-1,-1,-1,11518,228,5,5,5,5,5,0.6579,0.6579,0.6579,0.5811,0.9271
am3_window_00_frame_0,Am3-0,R,43,2 14,4.2686,44.2078,46.0998,6.1864,vertical,6,14880,11768,3056,1748,512,5,237 - 174 124 36 2,True,0.545,4:282 5:216 6:14,1.0,3.9198,3.9198,3.9198,4.4965,4.4965,-1,-1,-1,103,103,5,5,5,5,5,0.6366,0.6366,0.6366,0.6498,0.6498
am3_window_00_frame_0,Am3-0,R,30,2 0,6.8695,44.2078,40.1397,8.7272,horizontal,5,71400,61160,51896,26364,512,4,7 197 32 - 19,True,0.8676,5:512,1.0,7.2473,7.2473,7.2473,7.2473,46.3676,23510,23510,23510,23510,267,5,5,5,5,5,0.4349,0.4349,0.4349,0.4349,0.9038
am3_window_00_frame_0,Am3-0,R,30,2 0,6.8695,44.2078,40.1397,8.7272,vertical,6,14880,11632,3134,1766,512,4,237 - - 124 36 2,True,0.5409,4:308 5:174 6:30,1.0,7.5999,7.5999,7.5999,9.9755,11.0407,-1,-1,-1,618,315,4,4,4,4,4,0.4926,0.4926,0.4926,0.5177,0.5959
am3_window_00_frame_0,Am3-0,B,43,2 14,3.7492,4.2709,4.2708,4.2708,horizontal,5,66420,56352,47470,23758,512,5,7 10 32 3 19,True,0.8844,5:512,1.0,5.0763,5.0763,5.0763,5.2329,5.3944,-1,-1,-1,6584,367,5,5,5,5,5,0.841,0.841,0.841,0.6611,0.9039
am3_window_00_frame_0,Am3-0,B,43,2 14,3.7492,4.2709,4.2708,4.2708,vertical,6,14880,11922,3044,1930,512,5,- 237 174 124 36 2,True,0.5406,4:292 5:208 6:12,1.0,3.4314,3.4314,3.4314,3.9241,3.9241,-1,-1,-1,14,14,5,5,5,5,5,0.6271,0.6271,0.6271,0.7543,0.7543
gxBQ_window_00_frame_0,GX0,B,22,1 8,7.8195,7.6621,7.6621,7.5449,horizontal,5,4620,3308,3260,2186,512,4,- 292 64 88 71,True,0.5609,3:260 4:242 5:10,1.0,6.8434,6.8434,6.8434,6.8434,6.8434,-1,-1,-1,292,292,5,5,5,5,5,0.5821,0.5821,0.5821,0.5881,0.5881
gxBQ_window_00_frame_0,GX0,B,22,1 8,7.8195,7.6621,7.6621,7.5449,vertical,6,15840,13542,3588,2238,512,5,36 - 351 2 5 3,True,0.5232,4:290 5:202 6:20,1.0,7.5209,7.5209,7.5209,7.8044,7.8044,-1,-1,-1,399,399,5,5,5,5,5,0.5376,0.5376,0.5376,0.5515,0.5515
gxBQ_window_00_frame_0,GX0,B,143,9 8,6.7984,7.6621,34.3268,6.4003,horizontal,5,5060,3640,3578,2344,512,4,71 88 64 292 -,True,0.5911,3:124 4:350 5:38,1.0,6.2767,6.2767,6.2767,6.2767,34.4016,1459,1459,1459,1459,178,5,5,5,5,4,0.48,0.48,0.48,0.48,0.6848
gxBQ_window_00_frame_0,GX0,B,143,9 8,6.7984,7.6621,34.3268,6.4003,vertical,6,15840,12870,3082,1944,512,3,3 5 - - - 36,True,0.5257,4:308 5:192 6:12,0.6667,7.1869,7.1869,7.1869,7.3472,7.3472,-1,-1,-1,504,504,4,4,4,4,4,0.5106,0.5106,0.5106,0.5261,0.5261
