case_id,label,arm,pair_id,groups,direction_fit_px,axis,coordinates,enumerated,supported,supported_and_players,distinct,kept,cap_threshold_score,nearest_kept_by_kept_px,nearest_distinct_by_distinct_px,best_enumerated_px,best_supported_px,best_supported_and_players_px,best_distinct_px,best_kept_px,best_enumerated_rank,best_supported_rank,best_supported_and_players_rank,best_distinct_rank,best_kept_rank
gxBQ_window_00_frame_0,GX0,baseline,143,9 8,6.7984,horizontal,5,5060,3640,3578,2344,512,0.5911,34.3268,6.4003,6.2767,6.2767,6.2767,6.2767,34.4016,1459,1459,1459,1459,178
gxBQ_window_00_frame_0,GX0,baseline,143,9 8,6.7984,vertical,6,15840,12870,3082,1944,512,0.5257,34.3268,6.4003,7.1869,7.1869,7.1869,7.3472,7.3472,-1,-1,-1,504,504
gxBQ_window_00_frame_0,GX0,person,20,1 6,1.4983,horizontal,5,3420,2480,2362,1740,512,0.5669,1.6162,1.6162,1.8156,1.8156,1.8156,1.8156,1.8156,20,20,20,20,20
gxBQ_window_00_frame_0,GX0,person,20,1 6,1.4983,vertical,6,13950,11792,2850,1834,512,0.5013,1.6162,1.6162,1.5884,1.5884,1.5884,1.5884,1.5884,87,87,87,87,87
gxBQ_window_00_frame_0,GX0,paint,21,1 7,32.8164,horizontal,5,420,22,4,2,2,0.4429,605.2214,605.2214,32.9277,277.9989,857.3152,857.3152,857.3152,-1,-1,0,0,0
gxBQ_window_00_frame_0,GX0,paint,21,1 7,32.8164,vertical,6,3600,1966,434,310,310,0.3281,605.2214,605.2214,40.4453,44.9688,44.9688,46.1334,46.1334,-1,-1,-1,58,58
gxBQ_window_00_frame_0,GX0,paint_person,19,1 5,32.8164,horizontal,5,300,18,0,0,0,,,,32.9277,277.9989,,,,-1,-1,,,
gxBQ_window_00_frame_0,GX0,paint_person,19,1 5,32.8164,vertical,6,3150,1664,304,180,180,0.3267,,,40.4453,44.9688,44.9688,46.1334,46.1334,-1,-1,-1,44,44
gxBQ_window_00_frame_0,GX0,paint_observations,143,9 8,6.7984,horizontal,5,900,400,360,220,220,0.2171,12.5775,12.5775,6.2767,6.2767,6.2767,6.2767,6.2767,-1,-1,-1,181,181
gxBQ_window_00_frame_0,GX0,paint_observations,143,9 8,6.7984,vertical,6,3600,2174,266,190,190,0.3171,12.5775,12.5775,7.3472,24.5078,24.5078,24.5078,24.5078,-1,108,108,108,108
gxBQ_window_00_frame_0,GX0,person_observations,143,9 8,6.7984,horizontal,5,3420,2110,2058,1364,512,0.542,8.2719,6.4003,6.2767,6.2767,6.2767,6.2767,7.5941,773,773,773,773,376
