case_id,label,direction_arm,pair_id,pencils,experimental_arm,direction_fit_px,horizontal_distinct,vertical_distinct,selected_horizontal,selected_vertical,horizontal_core_preserved,vertical_core_preserved,combined_count,geometry_valid_count,geometry_player_count,per_pair_shortlist_count,nearest_combined_px,nearest_geometry_player_px,nearest_per_pair_shortlist_px,combined_axis_ids,geometry_player_axis_ids,per_pair_shortlist_axis_ids,original_axis_check,original_shortlist_check,pair_elapsed_s
am3_window_00_frame_0,Am3-0,R,43,2 14,A,4.268568,23864,1748,512,512,True,True,262144,57742,32628,256,46.099752,46.099752,48.566478,18998:9996,18998:9996,22016:9996,matched_record_and_table,matched,41.432325
am3_window_00_frame_0,Am3-0,R,43,2 14,B,4.268568,23864,1748,512,512,True,True,262144,43291,26316,256,46.099752,46.099752,48.566478,18998:9996,18998:9996,22016:9996,matched_record_and_table,not_applicable,40.201249
am3_window_00_frame_0,Am3-0,B,43,2 14,A,3.749206,23758,1930,512,512,True,True,262144,52960,31330,256,4.2708,4.2708,4.270903,30771:10582,30771:10582,30768:10567,matched_record_and_table,matched,40.849475
am3_window_00_frame_0,Am3-0,B,43,2 14,B,3.749206,23758,1930,512,512,True,True,262144,40653,23517,256,23.248379,23.248379,23.248379,33068:8131,33068:8131,33068:8131,matched_record_and_table,not_applicable,40.199792
gxBQ_window_00_frame_0,GX0,B,143,9 8,A,6.798367,2344,1944,512,512,True,True,262144,4358,4198,256,34.326758,34.326758,34.326767,2135:6223,2135:6223,2125:6226,matched_record_and_table,matched,42.394594
gxBQ_window_00_frame_0,GX0,B,143,9 8,B,6.798367,2344,1944,512,512,True,True,262144,5525,4673,256,34.326758,34.326758,34.326767,2135:6223,2135:6223,2125:6226,matched_record_and_table,not_applicable,42.069471
gxBQ_window_00_frame_0,GX0,B,22,1 8,A,7.819482,2186,2238,512,512,True,True,262144,8538,7654,256,7.662057,7.662057,7.662057,2072:3064,2072:3064,2072:3064,matched_record_and_table,matched,42.468095
gxBQ_window_00_frame_0,GX0,B,22,1 8,B,7.819482,2186,2238,512,512,True,True,262144,8830,7721,256,7.662057,7.662057,7.662057,2072:3064,2072:3064,2072:3064,matched_record_and_table,not_applicable,42.331208
am2_window_01_frame_28019,Am2-28019,B,15,1 0,A,2.972162,7102,3958,512,512,True,True,262144,11268,6402,256,61.620681,61.620681,81.262555,15355:7694,15355:7694,15345:5478,not_available,not_available,94.963085
am2_window_01_frame_28019,Am2-28019,B,15,1 0,B,2.972162,7102,3958,512,512,True,True,262144,10846,7156,256,7.529112,7.529112,7.529112,12776:7664,12776:7664,12776:7664,not_available,not_applicable,94.619863
shuttleset_03_scene_0019,SS03-19,B,1,0 2,A,2.268884,758,9469,512,512,True,True,262144,109446,77558,256,3.13399,3.13399,3.13399,2655:8792,2655:8792,2655:9033,not_available,not_available,8.393499
shuttleset_03_scene_0019,SS03-19,B,1,0 2,B,2.268884,758,9469,512,512,True,True,262144,111192,79630,256,3.13399,3.13399,3.13399,2655:8792,2655:8792,2655:9033,not_available,not_applicable,8.810942
