stage,seconds,share_of_total,source
finite_scores,2054,0.24896969696969698,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
match_axis,1384,0.16775757575757574,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
stripe_measure,1156,0.14012121212121212,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
geometry,403,0.04884848484848485,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
physical_marking_evidence,392,0.04751515151515152,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
write_json_gz,334,0.040484848484848485,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
refit_refine,325,0.03939393939393939,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
combine,286,0.034666666666666665,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
canonicalise,230,0.027878787878787878,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
geometry_and_support,216,0.02618181818181818,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
pair_own_time,175,0.021212121212121213,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
stripe_score_model,172,0.02084848484848485,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
vp_select,127,0.015393939393939394,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
write_population,120,0.014545454545454545,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
player_fractions,94,0.011393939393939394,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
read_json_gz,95,0.011515151515151515,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
template_camera_check,92,0.011151515151515152,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
retain,86,0.010424242424242424,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
distance_maps,83,0.01006060606060606,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
prepare_observations,21,0.0025454545454545456,claude_evidence/w5_savings/carmack_stage_times_vs_item12.txt
