court_id,total_rank_sum,mean_rank_sum,line_ranks,paint_ranks
gxBQ_window_00_frame_0::22:4579,119,17,"[1, 2, 15, 1, 12, 14, 16]","[3, 8, 8, 16, 13, 4, 6]"
gxBQ_window_00_frame_0::22:4598,133,19,"[8, 6, 16, 4, 16, 15, 17]","[10, 3, 3, 11, 2, 8, 14]"
gxBQ_window_00_frame_0::22:4588,134,19.142857142857142,"[9, 10, 17, 6, 17, 16, 15]","[2, 9, 2, 10, 11, 6, 4]"
gxBQ_window_00_frame_0::22:4594,137,19.571428571428573,"[6, 5, 13, 3, 14, 9, 13]","[18, 15, 10, 4, 9, 7, 11]"
gxBQ_window_00_frame_0::22:4580,149,21.285714285714285,"[2, 1, 14, 2, 13, 13, 14]","[17, 14, 9, 17, 18, 5, 10]"
gxBQ_window_00_frame_0::22:2043,155,22.142857142857142,"[10, 9, 18, 5, 19, 19, 20]","[7, 13, 7, 15, 6, 2, 5]"
gxBQ_window_00_frame_0::22:2055,155,22.142857142857142,"[19, 19, 20, 8, 20, 20, 18]","[1, 7, 1, 8, 8, 3, 3]"
gxBQ_window_00_frame_0::22:4587,197,28.142857142857142,"[21, 21, 19, 7, 18, 18, 19]","[9, 2, 14, 9, 14, 13, 13]"
gxBQ_window_00_frame_5::0:437,206,29.428571428571427,"[12, 14, 5, 18, 9, 3, 4]","[19, 19, 19, 19, 23, 19, 23]"
gxBQ_window_00_frame_0::22:2053,209,29.857142857142858,"[22, 22, 22, 16, 21, 22, 22]","[8, 1, 13, 13, 7, 12, 8]"
gxBQ_window_00_frame_0::106:93818,214,30.571428571428573,"[5, 3, 4, 10, 1, 5, 5]","[25, 23, 27, 26, 25, 27, 28]"
gxBQ_window_00_frame_0::106:93733,223,31.857142857142858,"[4, 7, 3, 12, 3, 17, 12]","[24, 22, 26, 25, 24, 23, 21]"
gxBQ_window_00_frame_0::22:231,228,32.57142857142857,"[20, 20, 21, 9, 22, 21, 21]","[13, 16, 15, 18, 12, 11, 9]"
gxBQ_window_00_frame_5::181:1029,230,32.857142857142854,"[17, 13, 9, 17, 7, 12, 9]","[20, 21, 23, 23, 20, 20, 19]"
gxBQ_window_00_frame_0::106:93784,232,33.142857142857146,"[3, 4, 1, 15, 2, 2, 1]","[29, 29, 29, 29, 29, 29, 30]"
gxBQ_window_00_frame_5::0:431,236,33.714285714285715,"[13, 16, 7, 14, 6, 8, 10]","[26, 24, 22, 22, 22, 24, 22]"
gxBQ_window_00_frame_5::181:950,236,33.714285714285715,"[14, 17, 8, 21, 11, 1, 3]","[23, 27, 21, 21, 21, 22, 26]"
gxBQ_window_00_frame_5::0:440,238,34,"[16, 12, 11, 19, 10, 10, 8]","[21, 20, 20, 20, 19, 28, 24]"
gxBQ_window_00_frame_5::151:435,239,34.142857142857146,"[28, 28, 26, 25, 25, 26, 23]","[5, 11, 18, 2, 5, 16, 1]"
gxBQ_window_00_frame_5::46:3243,241,34.42857142857143,"[25, 26, 29, 24, 29, 28, 27]","[16, 6, 6, 14, 3, 1, 7]"
gxBQ_window_00_frame_0::106:93910,247,35.285714285714285,"[7, 8, 2, 11, 4, 4, 2]","[30, 30, 30, 30, 30, 30, 29]"
gxBQ_window_00_frame_5::151:1393,248,35.42857142857143,"[29, 29, 28, 28, 28, 27, 25]","[4, 10, 11, 1, 1, 15, 12]"
gxBQ_window_00_frame_5::10:1274,249,35.57142857142857,"[26, 25, 25, 29, 27, 29, 30]","[11, 4, 4, 5, 4, 14, 16]"
gxBQ_window_00_frame_5::181:959,249,35.57142857142857,"[11, 15, 6, 13, 5, 6, 7]","[28, 28, 25, 24, 28, 26, 27]"
gxBQ_window_00_frame_5::151:437,256,36.57142857142857,"[27, 27, 27, 26, 26, 25, 24]","[6, 12, 12, 3, 17, 9, 15]"
gxBQ_window_00_frame_5::181:8453,261,37.285714285714285,"[18, 18, 10, 20, 8, 11, 6]","[27, 26, 24, 28, 27, 21, 17]"
gxBQ_window_00_frame_5::166:664,265,37.857142857142854,"[30, 30, 30, 30, 30, 30, 29]","[12, 5, 5, 12, 10, 10, 2]"
gxBQ_window_00_frame_5::181:29836,271,38.714285714285715,"[15, 11, 12, 22, 15, 7, 11]","[22, 25, 28, 27, 26, 25, 25]"
gxBQ_window_00_frame_5::213:55945,273,39,"[23, 23, 23, 23, 23, 23, 26]","[15, 18, 17, 7, 16, 18, 18]"
gxBQ_window_00_frame_5::213:11277,280,40,"[24, 24, 24, 27, 24, 24, 28]","[14, 17, 16, 6, 15, 17, 20]"
