gt_index,set_id,rally,n_gt_strokes,classification,mapped_span,ball_round_gt,ball_round_pred,ball_round_correct,timing_matched_n,timing_mean_abs_err,player_gt,player_pred,player_correct,server_gt,server_pred,server_correct,hit_height_eligible_n,hit_height_correct_n,getpoint_eligible,getpoint_gt,getpoint_pred,getpoint_correct,landing_eligible,landing_gt,landing_pred,landing_correct
0,set1,1,2,covered,0,2,3,False,1,15.000000,Top,Top,True,Bot,Top,False,2,0,True,Bot,,False,True,Bot,,False
1,set1,2,6,covered,1,6,6,True,5,5.800000,Top,,False,Bot,,False,6,2,True,Bot,,False,True,Bot,,False
2,set1,3,27,covered,2,27,27,True,24,4.541667,Bot,Top,False,Bot,Top,False,27,10,True,Top,Bot,False,True,Bot,Bot,True
3,set1,4,6,covered,3,6,26,False,4,2.750000,Bot,Top,False,Top,Bot,False,6,3,True,Bot,Bot,True,True,Top,,False
4,set1,5,16,covered,3,16,26,False,14,3.714286,Top,Top,True,Bot,Bot,True,16,4,True,Top,Bot,False,True,Bot,,False
5,set1,6,5,covered,4,5,5,True,4,5.500000,Top,Bot,False,Top,Bot,False,5,2,True,Bot,Bot,True,True,Top,,False
6,set1,7,4,covered,5,4,4,True,3,9.333333,Top,Top,True,Bot,Bot,True,4,2,True,Bot,Bot,True,True,Bot,Top,False
7,set1,8,6,covered,6,6,9,False,5,4.000000,Top,Bot,False,Bot,Bot,True,6,0,True,Bot,Top,False,True,Bot,Top,False
8,set1,9,22,covered,7,22,19,False,18,4.611111,Top,Top,True,Bot,Top,False,22,9,True,Top,Top,True,True,Bot,Bot,True
9,set1,10,9,covered,8,9,9,True,8,3.625000,Top,Top,True,Top,Top,True,9,2,True,Bot,Bot,True,True,Top,,False
10,set1,11,41,covered,9,41,37,False,34,3.323529,Bot,Bot,True,Bot,Bot,True,41,13,True,Top,Top,True,True,Top,,False
11,set1,12,34,covered,10,34,36,False,32,3.250000,Bot,Bot,True,Top,Top,True,34,12,True,Top,Top,True,True,Top,,False
12,set1,13,39,covered,11,39,41,False,36,2.388889,Top,Top,True,Top,Top,True,39,15,True,Top,Top,True,True,Bot,,False
13,set1,14,14,covered,12,14,14,True,14,3.357143,Bot,Bot,True,Top,Top,True,14,7,True,Bot,Top,False,True,Top,,False
14,set1,15,18,covered,13,18,19,False,17,2.823529,Top,Top,True,Bot,Top,False,18,9,True,Bot,Bot,True,True,Top,,False
15,set1,16,40,covered,14,40,37,False,36,2.694444,Top,Bot,False,Bot,Bot,True,40,18,True,Bot,,False,True,Top,,False
16,set1,17,15,covered,15,15,12,False,10,2.400000,Bot,,False,Bot,,False,15,4,True,Top,,False,True,Top,,False
17,set1,18,19,covered,16,19,16,False,15,2.333333,Top,Bot,False,Top,Top,True,19,5,True,Top,Top,True,True,Bot,,False
18,set1,19,7,covered,17,7,7,True,6,5.500000,Top,Top,True,Top,Top,True,7,1,True,Bot,Top,False,True,Bot,,False
19,set1,20,3,covered,18,3,5,False,3,2.333333,Bot,Top,False,Bot,Top,False,3,1,True,Top,Bot,False,True,Top,,False
20,set1,21,5,covered,19,5,4,False,4,1.500000,Top,Top,True,Top,Bot,False,5,1,True,Bot,Top,False,True,Bot,Bot,True
21,set1,22,12,covered,20,12,13,False,11,4.181818,Top,Top,True,Bot,Top,False,12,6,True,Bot,Bot,True,True,Top,Top,True
22,set1,23,8,covered,21,8,8,True,4,3.500000,Top,,False,Bot,,False,8,2,True,Bot,,False,True,Top,,False
23,set1,24,19,covered,22,19,22,False,17,2.235294,Bot,Top,False,Bot,Bot,True,19,7,True,Top,Bot,False,True,Bot,,False
24,set1,25,17,covered,23,17,18,False,15,3.000000,Top,Top,True,Top,Bot,False,17,9,True,Bot,Top,False,True,Top,,False
25,set1,26,10,covered,24,10,11,False,9,4.111111,Top,Top,True,Bot,Top,False,10,3,True,Bot,Bot,True,True,Top,Top,True
26,set1,27,44,covered,25,44,43,False,40,3.125000,Top,Bot,False,Bot,Bot,True,44,20,True,Bot,Top,False,True,Bot,Top,False
27,set1,28,6,covered,26,6,8,False,6,2.333333,Top,Bot,False,Bot,Top,False,6,3,True,Bot,Bot,True,True,Top,,False
28,set1,29,16,covered,27,16,12,False,11,4.909091,Top,Top,True,Bot,Bot,True,16,3,True,Top,Bot,False,True,Bot,Bot,True
29,set1,30,24,covered,28,24,26,False,22,3.136364,Top,Top,True,Top,Bot,False,24,10,True,Top,Top,True,True,Bot,,False
30,set1,31,3,missed,,3,,False,0,,Top,,False,Top,,False,3,0,True,Bot,,False,True,Top,,False
