gt_index,set_id,rally,n_gt_strokes,classification,mapped_span,ball_round_gt,ball_round_pred,ball_round_correct,timing_matched_n,timing_mean_abs_err,player_gt,player_pred,player_correct,server_gt,server_pred,server_correct,hit_height_eligible_n,hit_height_correct_n,getpoint_eligible,getpoint_gt,getpoint_pred,getpoint_correct,landing_eligible,landing_gt,landing_pred,landing_correct
0,set1,1,11,covered,4,11,10,False,9,1.333333,Bot,Bot,True,Bot,Top,False,11,6,True,Bot,Bot,True,True,Top,,False
1,set1,2,14,covered,5,14,17,False,12,2.083333,Top,Bot,False,Bot,Bot,True,14,6,True,Bot,Top,False,True,Bot,Top,False
2,set1,3,6,covered,6,6,5,False,4,2.750000,Top,Top,True,Bot,Top,False,6,1,True,Bot,Bot,True,True,Top,Top,True
3,set1,4,2,covered,8,2,4,False,2,4.000000,Top,,False,Bot,,False,2,0,True,Bot,,False,True,Bot,,False
4,set1,5,1,missed,,1,,False,0,,Bot,,False,Bot,,False,1,0,False,,,,True,Bot,,False
5,set1,6,2,covered,10,2,4,False,2,4.000000,Bot,Bot,True,Top,Top,True,2,0,True,Top,Top,True,True,Top,,False
6,set1,7,17,covered,11,17,22,False,15,1.866667,Top,Bot,False,Top,Top,True,17,6,True,Bot,Bot,True,True,Bot,,False
7,set1,8,5,covered,12,5,6,False,5,5.800000,Bot,Top,False,Bot,Bot,True,5,1,True,Top,Top,True,True,Bot,Top,False
8,set1,9,14,covered,14,14,17,False,13,2.000000,Bot,Bot,True,Top,Bot,False,14,6,True,Bot,Bot,True,True,Top,,False
9,set1,10,4,covered,16,4,7,False,4,3.500000,Top,Top,True,Bot,Top,False,4,1,True,Top,,False,True,Bot,,False
10,set1,11,5,covered,18,5,7,False,5,2.200000,Top,Top,True,Top,Top,True,5,1,True,Bot,Top,False,True,Top,,False
11,set1,12,17,covered,19,17,15,False,13,1.923077,Bot,Top,False,Bot,Top,False,17,8,True,Top,Bot,False,True,Bot,,False
12,set1,13,7,covered,20,7,10,False,7,2.428571,Top,Top,True,Top,Bot,False,7,6,True,Top,,False,True,Bot,,False
13,set1,14,16,covered,23,16,15,False,14,2.071429,Bot,Top,False,Top,Top,True,16,3,True,Top,Top,True,True,Top,,False
14,set1,15,4,covered,24,4,1,False,1,2.000000,Bot,Top,False,Top,Top,True,4,1,True,Top,Bot,False,True,Top,Top,True
15,set1,16,10,covered,26,10,10,True,9,2.777778,Bot,Top,False,Top,Bot,False,10,4,True,Top,Top,True,True,Top,,False
16,set1,17,7,covered,27,7,16,False,7,2.714286,Top,Bot,False,Top,Top,True,7,1,True,Bot,Top,False,True,Bot,,False
17,set1,18,1,missed,,1,,False,0,,Bot,,False,Bot,,False,1,0,False,,,,True,Bot,,False
18,set1,19,1,covered,30,1,4,False,1,4.000000,Top,Top,True,Top,Bot,False,1,0,False,,Bot,,True,Bot,,False
19,set1,20,13,covered,31,13,15,False,13,2.538462,Bot,Bot,True,Bot,Bot,True,13,5,True,Top,,False,True,Bot,,False
20,set1,21,2,covered,32,2,4,False,2,5.500000,Bot,,False,Top,,False,2,0,True,Top,,False,True,Bot,,False
